date,best_learning_rate_xgboost,best_max_depth_xgboost,best_n_estimators_xgboost,best_reg_lambda_xgboost,best_subsample_xgboost,best_colsample_xgboost,best_depth_random_forest,best_n_estimators_random_forest,best_min_leaf_random_forest
2002-02-01,0.050000,1,100,5,1.000000,1.000000,2,100,4
2002-03-01,0.050000,1,100,5,1.000000,0.700000,1,135,5
2002-04-01,0.050000,1,100,3,1.000000,1.000000,1,200,2
2002-05-01,0.050000,1,100,5,0.700000,1.000000,1,200,5
2002-06-03,0.050000,1,100,1,1.000000,1.000000,1,100,2
2002-07-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2002-08-01,0.050000,1,100,3,1.000000,1.000000,1,200,2
2002-09-03,0.050000,1,100,5,0.700000,0.700000,1,200,2
2002-10-01,0.050000,1,100,3,1.000000,1.000000,1,200,2
2002-11-01,0.050000,1,100,5,1.000000,1.000000,1,200,4
2002-12-02,0.050000,2,100,5,1.000000,1.000000,5,100,3
2003-01-02,0.050000,1,100,5,1.000000,1.000000,1,100,2
2003-02-03,0.050000,1,100,5,1.000000,0.700000,1,100,3
2003-03-03,0.050000,1,100,5,1.000000,0.700000,1,100,2
2003-04-01,0.050000,1,100,5,1.000000,0.700000,1,200,2
2003-05-01,0.050000,1,100,3,0.700000,0.700000,3,135,5
2003-06-02,0.100000,1,100,5,1.000000,1.000000,2,135,5
2003-07-01,0.050000,1,100,1,1.000000,1.000000,1,100,2
2003-08-01,0.050000,1,100,5,0.700000,0.700000,1,100,2
2003-09-02,0.100000,1,100,3,1.000000,0.700000,5,200,4
2003-10-01,0.050000,3,100,3,0.700000,0.700000,5,135,3
2003-11-03,0.050000,2,100,3,1.000000,0.700000,5,135,5
2003-12-01,0.050000,1,100,5,1.000000,1.000000,5,135,4
2004-01-02,0.050000,1,100,5,0.700000,0.700000,1,200,4
2004-02-02,0.050000,1,100,5,0.700000,0.700000,1,135,2
2004-03-01,0.050000,1,100,1,0.700000,1.000000,1,200,2
2004-04-01,0.050000,2,100,5,0.700000,0.700000,5,100,5
2004-05-03,0.050000,1,100,5,1.000000,0.700000,1,200,2
2004-06-01,0.050000,1,100,5,1.000000,0.700000,1,200,2
2004-07-01,0.050000,1,100,5,0.700000,0.700000,4,200,2
2004-08-02,0.050000,1,100,5,1.000000,1.000000,2,200,2
2004-09-01,0.050000,1,100,5,0.700000,0.700000,1,200,2
2004-10-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2004-11-01,0.050000,1,100,1,1.000000,1.000000,1,200,2
2004-12-01,0.050000,2,100,1,0.700000,1.000000,5,135,2
2005-01-03,0.050000,1,100,3,1.000000,1.000000,1,100,2
2005-02-01,0.050000,1,100,3,1.000000,1.000000,1,135,2
2005-03-01,0.050000,2,100,5,1.000000,1.000000,1,135,2
2005-04-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2005-05-02,0.050000,2,100,3,1.000000,1.000000,5,135,2
2005-06-01,0.050000,3,100,5,1.000000,0.700000,5,100,3
2005-07-01,0.050000,3,100,5,1.000000,0.700000,1,100,2
2005-08-01,0.050000,2,100,5,1.000000,1.000000,5,135,2
2005-09-01,0.050000,2,100,5,0.700000,0.700000,5,135,3
2005-10-03,0.050000,1,100,3,0.700000,1.000000,1,135,2
2005-11-01,0.050000,1,100,5,1.000000,0.700000,1,100,2
2005-12-01,0.050000,1,100,5,1.000000,0.700000,1,100,2
2006-01-03,0.050000,1,100,1,1.000000,1.000000,1,135,2
2006-02-01,0.050000,1,100,5,0.700000,0.700000,1,135,2
2006-03-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2006-04-03,0.050000,1,100,3,1.000000,1.000000,1,100,2
2006-05-01,0.050000,1,100,3,0.700000,0.700000,1,200,2
2006-06-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2006-07-03,0.050000,1,100,1,1.000000,1.000000,1,200,5
2006-08-01,0.050000,1,100,1,1.000000,1.000000,4,100,3
2006-09-01,0.050000,1,100,3,0.700000,0.700000,2,100,2
2006-10-02,0.050000,1,100,5,0.700000,0.700000,1,135,5
2006-11-01,0.050000,1,100,5,0.700000,0.700000,1,135,2
2006-12-01,0.050000,1,100,1,1.000000,1.000000,5,200,3
2007-01-03,0.050000,1,100,5,1.000000,1.000000,5,100,3
2007-02-01,0.050000,1,100,5,0.700000,0.700000,4,100,4
2007-03-01,0.050000,1,100,3,1.000000,0.700000,2,100,3
2007-04-02,0.050000,1,100,5,0.700000,0.700000,3,135,5
2007-05-01,0.050000,1,100,5,0.700000,0.700000,5,200,4
2007-06-01,0.050000,1,100,5,0.700000,1.000000,5,100,5
2007-07-02,0.050000,1,100,1,1.000000,1.000000,1,200,2
2007-08-01,0.050000,1,100,5,0.700000,0.700000,1,100,2
