rebalance_date,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
2005-07-01,0.3536392326635606,0.1250607068788719,0.301734784245491,-0.5044897068134973,-0.1218045112781954,0.4,0.2700308624336608
2006-01-03,0.2946151842097292,0.0867981067669327,0.231084588766098,-0.0441877505796415,0.3157894736842105,0.6,0.5916079783099616
2006-07-03,0.377989596325176,0.1428761349300695,0.3254271686077118,-0.7188106457752723,-0.6060150375939849,0.85,0.9176629354822472
2007-01-03,0.3440853064210034,0.1183946980948358,0.2981864568104044,-0.4246828670745242,-0.2771929824561403,0.3684210526315789,0.3692744729379982
2007-07-02,0.3130713288153913,0.0980136569262348,0.2757029961020663,-0.1794310050123597,0.1736842105263158,0.5263157894736842,0.5163977794943222
2008-01-02,0.4080071127343212,0.1664698040417971,0.3285603290449549,-1.0031866419696254,-0.3403508771929824,0.2105263157894736,0.25
2008-07-01,0.3167853986853666,0.1003529888202466,0.2677027754485607,-0.2072540008450727,-0.0015037593984962,0.5,0.5
2009-01-02,0.3409390140758608,0.11623941131902,0.2833815325990608,-0.3987475828722073,-0.4526315789473684,0.4210526315789473,0.4264014327112209
2009-07-01,0.2990618112778488,0.0894379669647876,0.2577754254156202,-0.0762368691429447,-0.4649122807017543,0.1578947368421052,0.3333333333333333
2010-01-04,0.3620870507527772,0.1311070323228442,0.3141733291000127,-0.5772274565154194,-0.0330827067669172,0.6,0.7608859102526822
2010-07-01,0.4633718278302278,0.2147134508267262,0.409999898970127,-1.5830189573139997,-0.5187969924812029,0.65,0.5773502691896257
2011-01-03,0.3974622275789914,0.1579762223520539,0.347051203250885,-0.9004658328066637,-0.4270676691729323,0.35,0.3178208630818641
2011-07-01,0.3354552028474581,0.1125301931174292,0.2653282594680787,-0.3537466841194501,-0.0120300751879699,0.65,0.6356417261637283
2012-01-03,0.342274267771034,0.1171516743781974,0.2793243025243282,-0.4093434511662852,-0.0045112781954887,0.55,0.4428074427700476
2012-07-02,0.3321874511820695,0.1103485027228398,0.2636666020750999,-0.327500784635667,-0.0466165413533834,0.45,0.4494665749754947
2013-01-02,0.3654369659487582,0.1335441760818339,0.3046761345863342,-0.6065464791799564,-0.2030075187969924,0.75,0.7140055472954167
2013-07-01,0.4225864252264884,0.1785792867857025,0.3710801662504673,-1.1483222470460452,-0.1639097744360902,0.65,0.5773502691896257
2014-01-02,0.3604041871617792,0.1298911781237428,0.319133358001709,-0.5626006390826204,-0.2015037593984962,0.5,0.4020151261036848
2014-07-01,0.4102098544669006,0.1682721247017558,0.3386200058460236,-1.0243263122015742,-0.3323308270676691,0.35,0.0
2015-01-02,0.2922616937285323,0.0854168976210704,0.2414095825270602,-0.0278500013735469,0.2350877192982455,0.5263157894736842,0.5222329678670935
2015-07-01,0.3559617331760122,0.1267087554856705,0.3010847577180228,-0.5247286910109019,-0.0614035087719298,0.3157894736842105,0.3086066999241838
2016-01-04,0.3047085415049939,0.0928472952661006,0.2361635929346084,-0.1169599430508345,0.3699248120300751,0.5,0.5
2016-07-01,0.2938881378849077,0.0863702375894585,0.2398625986278057,-0.0390404522040122,0.3984962406015037,0.5,0.4364357804719847
2017-01-03,0.215061314849593,0.0462513691448358,0.1586445575952529,0.4435925516410731,0.7142857142857143,0.6,0.6831300510639732
2017-07-03,0.3034357391960748,0.0920732478214683,0.2517538511753082,-0.1076480940928521,0.0511278195488721,0.45,
2018-01-02,0.3001137315269751,0.0900682518510452,0.2399252583831548,-0.0835278418170861,0.3729323308270676,0.6,0.6030226891555273
