rebalance_date,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
2006-07-03,0.3214224845916289,0.10368744687821721,0.27303482353687286,-0.24736778199359075,-0.19172932330827064,0.675,
2006-10-02,0.3377707170983161,0.1143269208299467,0.2885246975719929,-0.37536145359334416,-0.22255639097744356,0.525,0.3850608613458679
2007-01-03,0.34168485804179194,0.11701122447238066,0.29516305107819407,-0.40803506781764765,-0.29561403508771933,0.18421052631578938,0.08451542547285165
2007-04-02,0.3429620328979265,0.11762314396101325,0.28116041632405275,-0.41539849899752646,-0.22807017543859645,0.5789473684210527,0.5416461072110238
2007-07-02,0.30124172579267744,0.09075816790009869,0.25149706237203856,-0.09212328706452119,-0.24035087719298243,0.5263157894736842,0.44396037508609554
2007-10-01,0.3409477770257695,0.11752671027332326,0.30212641284488906,-0.41423808028899056,-0.3605263157894737,0.36842105263157887,0.3432855864667055
2008-01-02,0.3368912199033673,0.11396543043053986,0.2643145778915559,-0.37138401284749634,-0.22368421052631576,0.42105263157894735,0.41229288281799925
2008-04-01,0.3025038946591279,0.0915274833750511,0.25492196276783935,-0.10108250676753269,-0.1977443609022556,0.45,0.43557917017506936
2008-07-01,0.2856201597499125,0.0815867107043178,0.24276382178068165,0.0185057358879055,0.2744360902255638,0.675,0.6271767347879779
2008-10-01,0.3071593970495707,0.094357966114511,0.26159301072359087,-0.1351334269414865,-0.1669172932330827,0.275,0.2619684159977919
2009-01-02,0.3288611612003379,0.1082515440089298,0.25105523691613263,-0.3026269129074557,-0.0324561403508772,0.36842105263157887,0.4140342101788418
2009-04-01,0.2840187348161274,0.080799350973204,0.24671080188407796,0.0277144766224444,0.09298245614035092,0.7894736842105263,0.32914029430219166
2009-07-01,0.3081969029573737,0.0949896736394435,0.2631165327870614,-0.14304240612797045,-0.28684210526315784,0.631578947368421,0.478713553878169
