rebalance_date,invest_year,select_year,ticker,assigned_weight,hrp_success,turnover,tc_drag_bps
2000-01-03,2000,1999,XOM,0.1,True,0.0,0.0
2000-01-03,2000,1999,INTC,0.032240648544162386,True,0.0,0.0
2000-01-03,2000,1999,C,0.03819585265131547,True,0.0,0.0
2000-01-03,2000,1999,IBM,0.055319283290322395,True,0.0,0.0
2000-01-03,2000,1999,HD,0.06121814316701466,True,0.0,0.0
2000-01-03,2000,1999,ORCL,0.022685676138103256,True,0.0,0.0
2000-01-03,2000,1999,KO,0.0746879392973933,True,0.0,0.0
2000-01-03,2000,1999,PG,0.06906325791498392,True,0.0,0.0
2000-01-03,2000,1999,MRK,0.0717645744422556,True,0.0,0.0
2000-01-03,2000,1999,AIG,0.047319409084933144,True,0.0,0.0
2000-01-03,2000,1999,JNJ,0.04952307837606234,True,0.0,0.0
2000-01-03,2000,1999,QCOM,0.01601499071479069,True,0.0,0.0
2000-01-03,2000,1999,BMY,0.038499544172957326,True,0.0,0.0
2000-01-03,2000,1999,PFE,0.05394432031238083,True,0.0,0.0
2000-01-03,2000,1999,T,0.05431322705049238,True,0.0,0.0
2000-01-03,2000,1999,VZ,0.05623431974764823,True,0.0,0.0
2000-07-03,2000,1999,MSFT,0.02757621941449034,True,0.284955,0.0
2000-07-03,2000,1999,CSCO,0.029313687416644463,True,0.0,0.0
2000-07-03,2000,1999,WMT,0.048958888673937245,True,0.0,0.0
2000-07-03,2000,1999,GE,0.05636054297649404,True,0.0,0.0
2000-07-03,2000,1999,XOM,0.10000000000000002,True,0.0,0.0
2000-07-03,2000,1999,INTC,0.021365504865526314,True,0.0,0.0
2000-07-03,2000,1999,C,0.027823402402347947,True,0.0,0.0
2000-07-03,2000,1999,IBM,0.059119465542722925,True,0.0,0.0
2000-07-03,2000,1999,HD,0.061780024324647985,True,0.0,0.0
2000-07-03,2000,1999,ORCL,0.021922872157242014,True,0.0,0.0
2000-07-03,2000,1999,KO,0.08484524718380153,True,0.0,0.0
2000-07-03,2000,1999,PG,0.07115302803630555,True,0.0,0.0
2000-07-03,2000,1999,MRK,0.05915822431955916,True,0.0,0.0
2000-07-03,2000,1999,AIG,0.06851668055507036,True,0.0,0.0
