rebalance_date,invest_year,select_year,ticker,assigned_weight,opt_method,turnover,tc_drag_bps
2001-07-02,2001,2000,IBM,0.18441,max_sharpe,0.0,0.0
2001-07-02,2001,2000,VZ,0.02397,max_sharpe,0.0,0.0
2001-07-02,2001,2000,HD,0.02374,max_sharpe,0.0,0.0
2002-01-02,2002,2001,MSFT,0.05871,max_sharpe,0.80482,0.0
2002-01-02,2002,2001,XOM,0.05752,max_sharpe,0.0,0.0
2002-01-02,2002,2001,WMT,0.2438,max_sharpe,0.0,0.0
2002-01-02,2002,2001,PFE,0.07567,max_sharpe,0.0,0.0
2002-01-02,2002,2001,IBM,0.1384,max_sharpe,0.0,0.0
2002-01-02,2002,2001,JNJ,0.20475,max_sharpe,0.0,0.0
2002-01-02,2002,2001,AIG,0.11788,max_sharpe,0.0,0.0
2002-01-02,2002,2001,HD,0.10327,max_sharpe,0.0,0.0
2002-07-01,2002,2001,MSFT,0.00993,max_sharpe,0.607209,0.0
2002-07-01,2002,2001,XOM,0.08989,max_sharpe,0.0,0.0
2002-07-01,2002,2001,WMT,0.48077,max_sharpe,0.0,0.0
2002-07-01,2002,2001,PFE,0.00748,max_sharpe,0.0,0.0
2002-07-01,2002,2001,IBM,0.02357,max_sharpe,0.0,0.0
2002-07-01,2002,2001,JNJ,0.26185,max_sharpe,0.0,0.0
2002-07-01,2002,2001,AIG,0.08992,max_sharpe,0.0,0.0
2002-07-01,2002,2001,HD,0.00526,max_sharpe,0.0,0.0
2002-07-01,2002,2001,CVX,0.03134,max_sharpe,0.0,0.0
2003-01-02,2003,2002,WMT,0.51471,max_sharpe,0.421769,0.0
2003-01-02,2003,2002,JNJ,0.42847,max_sharpe,0.0,0.0
2003-01-02,2003,2002,IBM,0.05682,max_sharpe,0.0,0.0
2003-07-01,2003,2002,WMT,0.33371,max_sharpe,0.402898,0.0
2003-07-01,2003,2002,JNJ,0.41121,max_sharpe,0.0,0.0
2003-07-01,2003,2002,IBM,0.11665,max_sharpe,0.0,0.0
2003-07-01,2003,2002,WFC,0.13843,max_sharpe,0.0,0.0
2004-01-02,2004,2003,C,0.54303,max_sharpe,1.367827,0.0
2004-01-02,2004,2003,JNJ,0.15815,max_sharpe,0.0,0.0
2004-01-02,2004,2003,PG,0.02192,max_sharpe,0.0,0.0
2004-01-02,2004,2003,WFC,0.21561,max_sharpe,0.0,0.0
2004-01-02,2004,2003,CVX,0.06129,max_sharpe,0.0,0.0
2004-07-01,2004,2003,XOM,0.17788,max_sharpe,1.351346,0.0
2004-07-01,2004,2003,C,0.04788,max_sharpe,0.0,0.0
2004-07-01,2004,2003,JNJ,0.04085,max_sharpe,0.0,0.0
2004-07-01,2004,2003,PG,0.26582,max_sharpe,0.0,0.0
2004-07-01,2004,2003,WFC,0.31889,max_sharpe,0.0,0.0
2004-07-01,2004,2003,UPS,0.14868,max_sharpe,0.0,0.0
2005-01-03,2005,2004,BAC,0.43947,max_sharpe,1.599219,0.0
2005-01-03,2005,2004,JNJ,0.18785,max_sharpe,0.0,0.0
2005-01-03,2005,2004,CVX,0.21503,max_sharpe,0.0,0.0
2005-01-03,2005,2004,WFC,0.05822,max_sharpe,0.0,0.0
2005-01-03,2005,2004,UPS,0.09943,max_sharpe,0.0,0.0
