rebalance_date,ticker,assigned_weight,turnover_at_rebalance
2010-04-01,XOM,0.01,0.5792720773842718
2010-04-01,MSFT,0.08916,0.0
2010-04-01,WMT,0.1,0.0
2010-04-01,GOOGL,0.1,0.0
2010-04-01,AAPL,0.1,0.0
2010-04-01,JNJ,0.1,0.0
2010-04-01,PG,0.01,0.0
2010-04-01,JPM,0.01,0.0
2010-04-01,IBM,0.1,0.0
2010-04-01,CVX,0.01,0.0
2010-04-01,WFC,0.01,0.0
2010-04-01,PFE,0.01,0.0
2010-04-01,CSCO,0.01084,0.0
2010-04-01,KO,0.01,0.0
2010-04-01,BAC,0.01,0.0
2010-04-01,T,0.01,0.0
2010-04-01,ORCL,0.1,0.0
2010-04-01,INTC,0.1,0.0
2010-04-01,MRK,0.1,0.0
2010-04-01,VZ,0.01,0.0
2010-07-01,XOM,0.01,0.7364329097636498
2010-07-01,MSFT,0.01,0.0
2010-07-01,WMT,0.01,0.0
2010-07-01,GOOGL,0.01,0.0
2010-07-01,AAPL,0.1,0.0
2010-07-01,JNJ,0.09,0.0
2010-07-01,PG,0.1,0.0
2010-07-01,JPM,0.1,0.0
2010-07-01,IBM,0.1,0.0
2010-07-01,CVX,0.01,0.0
2010-07-01,WFC,0.1,0.0
2010-07-01,PFE,0.01,0.0
2010-07-01,CSCO,0.01,0.0
2010-07-01,KO,0.1,0.0
2010-07-01,BAC,0.01,0.0
2010-07-01,T,0.01,0.0
2010-07-01,ORCL,0.1,0.0
2010-07-01,INTC,0.01,0.0
2010-07-01,MRK,0.1,0.0
2010-07-01,VZ,0.01,0.0
2010-10-01,XOM,0.01,0.5509198815940963
2010-10-01,MSFT,0.01,0.0
2010-10-01,WMT,0.01,0.0
2010-10-01,GOOGL,0.1,0.0
2010-10-01,AAPL,0.1,0.0
2010-10-01,JNJ,0.09,0.0
2010-10-01,PG,0.01,0.0
2010-10-01,JPM,0.01,0.0
2010-10-01,IBM,0.1,0.0
2010-10-01,CVX,0.01,0.0
2010-10-01,WFC,0.01,0.0
2010-10-01,PFE,0.01,0.0
2010-10-01,CSCO,0.01,0.0
2010-10-01,KO,0.1,0.0
2010-10-01,BAC,0.01,0.0
2010-10-01,T,0.1,0.0
2010-10-01,ORCL,0.1,0.0
2010-10-01,INTC,0.01,0.0
2010-10-01,MRK,0.1,0.0
2010-10-01,VZ,0.1,0.0
2011-01-01,XOM,0.01,0.4914645431159687
2011-01-01,AAPL,0.1,0.0
2011-01-01,MSFT,0.1,0.0
2011-01-01,BRK-B,0.01,0.0
2011-01-01,WMT,0.07132,0.0
2011-01-01,GOOGL,0.1,0.0
2011-01-01,CVX,0.01,0.0
2011-01-01,PG,0.01378,0.0
2011-01-01,IBM,0.1,0.0
2011-01-01,JNJ,0.1,0.0
2011-01-01,JPM,0.01,0.0
2011-01-01,WFC,0.01,0.0
2011-01-01,ORCL,0.1,0.0
2011-01-01,KO,0.1,0.0
2011-01-01,C,0.01,0.0
2011-01-01,BAC,0.01,0.0
2011-01-01,PFE,0.01,0.0
2011-01-01,T,0.07195,0.0
2011-01-01,GE,0.01,0.0
2011-01-01,INTC,0.05295,0.0
2011-04-01,XOM,0.01,0.6502283479181306
2011-04-01,AAPL,0.1,0.0
2011-04-01,MSFT,0.01,0.0
2011-04-01,BRK-B,0.01,0.0
2011-04-01,WMT,0.01,0.0
2011-04-01,GOOGL,0.05503,0.0
2011-04-01,CVX,0.1,0.0
2011-04-01,PG,0.1,0.0
2011-04-01,IBM,0.1,0.0
2011-04-01,JNJ,0.01,0.0
2011-04-01,JPM,0.01,0.0
2011-04-01,WFC,0.01,0.0
2011-04-01,ORCL,0.1,0.0
2011-04-01,KO,0.1,0.0
2011-04-01,C,0.01,0.0
2011-04-01,BAC,0.01,0.0
2011-04-01,PFE,0.1,0.0
2011-04-01,T,0.08536,0.0
2011-04-01,GE,0.05961,0.0
2011-04-01,INTC,0.01,0.0
2011-07-01,XOM,0.01,0.3132708612157516
2011-07-01,AAPL,0.1,0.0
2011-07-01,MSFT,0.01,0.0
2011-07-01,BRK-B,0.01,0.0
2011-07-01,WMT,0.05812,0.0
2011-07-01,GOOGL,0.01,0.0
2011-07-01,CVX,0.1,0.0
2011-07-01,PG,0.1,0.0
2011-07-01,IBM,0.1,0.0
2011-07-01,JNJ,0.1,0.0
2011-07-01,JPM,0.01,0.0
2011-07-01,WFC,0.01,0.0
2011-07-01,ORCL,0.04188,0.0
2011-07-01,KO,0.1,0.0
2011-07-01,C,0.01,0.0
2011-07-01,BAC,0.01,0.0
2011-07-01,PFE,0.1,0.0
2011-07-01,T,0.1,0.0
2011-07-01,GE,0.01,0.0
2011-07-01,INTC,0.01,0.0
2011-10-01,XOM,0.01,0.22931729524616237
2011-10-01,AAPL,0.1,0.0
2011-10-01,MSFT,0.01,0.0
2011-10-01,BRK-B,0.01,0.0
2011-10-01,WMT,0.09,0.0
2011-10-01,GOOGL,0.01,0.0
2011-10-01,CVX,0.1,0.0
2011-10-01,PG,0.1,0.0
2011-10-01,IBM,0.1,0.0
2011-10-01,JNJ,0.1,0.0
2011-10-01,JPM,0.01,0.0
2011-10-01,WFC,0.01,0.0
2011-10-01,ORCL,0.1,0.0
2011-10-01,KO,0.1,0.0
2011-10-01,C,0.01,0.0
2011-10-01,BAC,0.01,0.0
2011-10-01,PFE,0.01,0.0
2011-10-01,T,0.1,0.0
2011-10-01,GE,0.01,0.0
2011-10-01,INTC,0.01,0.0
2012-01-01,XOM,0.01,0.41747106819634655
2012-01-01,AAPL,0.1,0.0
2012-01-01,MSFT,0.01,0.0
2012-01-01,CVX,0.1,0.0
2012-01-01,GOOGL,0.01,0.0
2012-01-01,IBM,0.1,0.0
2012-01-01,WMT,0.1,0.0
2012-01-01,BRK-B,0.01,0.0
2012-01-01,PG,0.09,0.0
2012-01-01,JNJ,0.01,0.0
2012-01-01,KO,0.1,0.0
2012-01-01,PFE,0.01,0.0
2012-01-01,WFC,0.01,0.0
2012-01-01,PM,0.1,0.0
2012-01-01,T,0.1,0.0
2012-01-01,ORCL,0.01,0.0
2012-01-01,JPM,0.01,0.0
2012-01-01,INTC,0.01,0.0
2012-01-01,VZ,0.1,0.0
2012-01-01,GE,0.01,0.0
2012-04-01,XOM,0.01,0.23632183770560178
2012-04-01,AAPL,0.1,0.0
2012-04-01,MSFT,0.01,0.0
2012-04-01,CVX,0.05194,0.0
2012-04-01,GOOGL,0.01,0.0
2012-04-01,IBM,0.1,0.0
2012-04-01,WMT,0.1,0.0
2012-04-01,BRK-B,0.01,0.0
2012-04-01,PG,0.04806,0.0
2012-04-01,JNJ,0.01,0.0
2012-04-01,KO,0.1,0.0
2012-04-01,PFE,0.1,0.0
2012-04-01,WFC,0.01,0.0
2012-04-01,PM,0.1,0.0
2012-04-01,T,0.1,0.0
2012-04-01,ORCL,0.01,0.0
2012-04-01,JPM,0.01,0.0
2012-04-01,INTC,0.01,0.0
2012-04-01,VZ,0.1,0.0
2012-04-01,GE,0.01,0.0
2012-07-01,XOM,0.07981,0.22031414775199518
2012-07-01,AAPL,0.1,0.0
2012-07-01,MSFT,0.01,0.0
2012-07-01,CVX,0.01,0.0
2012-07-01,GOOGL,0.01,0.0
2012-07-01,IBM,0.1,0.0
2012-07-01,WMT,0.1,0.0
2012-07-01,BRK-B,0.01,0.0
2012-07-01,PG,0.01,0.0
2012-07-01,JNJ,0.02019,0.0
2012-07-01,KO,0.1,0.0
2012-07-01,PFE,0.1,0.0
2012-07-01,WFC,0.01,0.0
2012-07-01,PM,0.1,0.0
2012-07-01,T,0.1,0.0
2012-07-01,ORCL,0.01,0.0
2012-07-01,JPM,0.01,0.0
2012-07-01,INTC,0.01,0.0
2012-07-01,VZ,0.1,0.0
2012-07-01,GE,0.01,0.0
2012-10-01,XOM,0.01,0.19401287402732964
2012-10-01,AAPL,0.1,0.0
2012-10-01,MSFT,0.01,0.0
2012-10-01,CVX,0.01,0.0
2012-10-01,GOOGL,0.01,0.0
2012-10-01,IBM,0.1,0.0
2012-10-01,WMT,0.1,0.0
2012-10-01,BRK-B,0.01,0.0
2012-10-01,PG,0.09,0.0
2012-10-01,JNJ,0.01,0.0
2012-10-01,KO,0.1,0.0
2012-10-01,PFE,0.1,0.0
2012-10-01,WFC,0.01,0.0
2012-10-01,PM,0.1,0.0
2012-10-01,T,0.1,0.0
2012-10-01,ORCL,0.01,0.0
2012-10-01,JPM,0.01,0.0
2012-10-01,INTC,0.01,0.0
2012-10-01,VZ,0.1,0.0
2012-10-01,GE,0.01,0.0
2013-01-01,AAPL,0.1,0.2412812127312841
2013-01-01,XOM,0.01,0.0
2013-01-01,GOOGL,0.01,0.0
2013-01-01,WMT,0.1,0.0
2013-01-01,MSFT,0.01,0.0
2013-01-01,BRK-B,0.01,0.0
2013-01-01,CVX,0.01,0.0
2013-01-01,IBM,0.1,0.0
2013-01-01,JNJ,0.1,0.0
2013-01-01,PG,0.0508,0.0
2013-01-01,WFC,0.01,0.0
2013-01-01,PFE,0.1,0.0
2013-01-01,JPM,0.01,0.0
2013-01-01,KO,0.0492,0.0
2013-01-01,ORCL,0.01,0.0
2013-01-01,T,0.1,0.0
2013-01-01,PM,0.1,0.0
2013-01-01,GE,0.01,0.0
2013-01-01,BAC,0.01,0.0
2013-01-01,VZ,0.1,0.0
2013-04-01,AAPL,0.01,0.17933925548364593
2013-04-01,XOM,0.01,0.0
2013-04-01,GOOGL,0.02099,0.0
2013-04-01,WMT,0.1,0.0
2013-04-01,MSFT,0.01,0.0
2013-04-01,BRK-B,0.01,0.0
2013-04-01,CVX,0.01,0.0
2013-04-01,IBM,0.1,0.0
2013-04-01,JNJ,0.1,0.0
2013-04-01,PG,0.1,0.0
2013-04-01,WFC,0.01,0.0
2013-04-01,PFE,0.1,0.0
2013-04-01,JPM,0.01,0.0
2013-04-01,KO,0.07901,0.0
2013-04-01,ORCL,0.01,0.0
2013-04-01,T,0.1,0.0
2013-04-01,PM,0.1,0.0
2013-04-01,GE,0.01,0.0
2013-04-01,BAC,0.01,0.0
2013-04-01,VZ,0.1,0.0
2013-07-01,AAPL,0.01,0.34473796593728256
2013-07-01,XOM,0.01,0.0
2013-07-01,GOOGL,0.1,0.0
2013-07-01,WMT,0.1,0.0
2013-07-01,MSFT,0.1,0.0
2013-07-01,BRK-B,0.01,0.0
2013-07-01,CVX,0.01,0.0
2013-07-01,IBM,0.01,0.0
2013-07-01,JNJ,0.1,0.0
2013-07-01,PG,0.1,0.0
2013-07-01,WFC,0.01,0.0
2013-07-01,PFE,0.1,0.0
2013-07-01,JPM,0.01,0.0
2013-07-01,KO,0.01,0.0
2013-07-01,ORCL,0.01,0.0
2013-07-01,T,0.09,0.0
2013-07-01,PM,0.1,0.0
2013-07-01,GE,0.01,0.0
2013-07-01,BAC,0.01,0.0
2013-07-01,VZ,0.1,0.0
2013-10-01,AAPL,0.01,0.5292895911374332
2013-10-01,XOM,0.01,0.0
2013-10-01,GOOGL,0.1,0.0
2013-10-01,WMT,0.1,0.0
2013-10-01,MSFT,0.01,0.0
2013-10-01,BRK-B,0.1,0.0
2013-10-01,CVX,0.01,0.0
2013-10-01,IBM,0.01,0.0
2013-10-01,JNJ,0.1,0.0
2013-10-01,PG,0.01,0.0
2013-10-01,WFC,0.01,0.0
2013-10-01,PFE,0.1,0.0
2013-10-01,JPM,0.01,0.0
2013-10-01,KO,0.01,0.0
