rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_depth,best_n_estimators,best_min_leaf,best_max_features,val_R2_selected,turnover,tc_drag_bps
2004-07-01,2004,2003,20,0.30877075282915406,0.09533937780268253,0.2585544467630168,-0.14693988334054175,-10.475062272375483,-0.2556390977443609,0.55,0.5345224838248488,5,100,5,0.5,0.02004858909222651,0.46902647503783484,0.0
2005-01-03,2005,2004,20,0.29095718834489104,0.0846560854495644,0.24831961415924733,-0.018419073077466486,-28.798120663409694,-0.26315789473684204,0.4,0.0,1,100,2,sqrt,-0.010609914745654647,0.6116345739224939,0.0
2005-07-01,2005,2004,20,0.2810512308571206,0.07898979436630248,0.23380196656887361,0.049746834691098085,-36.01035035457689,0.2646616541353383,0.55,0.5,5,135,3,sqrt,0.06725660361379149,0.47897177643152855,0.0
2006-01-03,2006,2005,20,0.27175276170841545,0.07384956349615084,0.2427008414718995,0.11158419854254642,-28.58864785517036,0.33383458646616543,0.55,0.5477225575051661,5,100,1,0.5,0.016222703052197307,0.5894073789613878,0.0
2006-07-03,2006,2005,20,0.2966442559248334,0.08799781457319807,0.26434431586377255,-0.05862032569260833,-4.252742158790321,-0.07669172932330826,0.75,0.8583950752789521,5,135,1,0.5,0.01933345666658326,0.42285557573647164,0.0
2007-01-03,2007,2006,19,0.29095353084016146,0.0846539571083568,0.25097844846076334,-0.018669283870560216,-23.787906011466266,-0.30000000000000004,0.5789473684210527,0.0,1,200,1,sqrt,-0.0009457766715164073,0.5402703462444597,0.0
2007-07-02,2007,2006,19,0.28973491318200634,0.08394631991658474,0.25163879448373455,-0.01015404966290312,-12.321114242174534,-0.1,0.5263157894736842,0.0,1,200,3,sqrt,-0.005045296195312687,0.45150383996707066,0.0
2008-01-02,2008,2007,20,0.3045021607781368,0.09272156591855428,0.25473029024187893,-0.11544740954651767,-8.532412007105988,-0.48872180451127817,0.15,0.0,1,200,3,sqrt,0.0553174495748423,1.0300732347238322,0.0
2008-07-01,2008,2007,20,0.3067561018849569,0.09409930604365405,0.2614522948999492,-0.13202172684095115,-4.6089810091135615,-0.306766917293233,0.1,0.0,1,100,1,sqrt,0.04268515625738356,0.6571352883273719,0.0
2009-01-02,2009,2008,19,0.2953141134060858,0.08721042557682251,0.254026819605068,-0.04943212110776418,-11.666826374707684,-0.23859649122807017,0.42105263157894735,0.2820380374088831,2,200,5,sqrt,0.012555857023944461,0.9011891647600796,0.0
2009-07-01,2009,2008,19,0.29486459997001774,0.08694513231547857,0.25367309494039175,-0.046239758862925306,-1.5358633845854586,-0.1649122807017544,0.7894736842105263,0.0,1,200,4,0.5,0.005235182672509109,0.5421680387187005,0.0
2010-01-04,2010,2009,20,0.28795073019811546,0.08291562302162789,0.24655289964697574,0.0025188207924464745,-19.05380998784144,-0.007518796992481202,0.1,0.22941573387056177,1,200,1,sqrt,-0.020021407893134002,0.9963302622731454,0.0
2010-07-01,2010,2009,20,0.2897545889303377,0.08395772180618896,0.2502558835152724,-0.010017705939115329,-0.8239015015323954,0.025563909774436087,0.55,0.0,1,100,4,sqrt,0.00103236510522553,0.4135960882018623,0.0
