rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_depth,best_n_est,best_min_leaf,best_min_samples_split,val_R2_selected
2022-07-01,2022,2021,HD,0.03938700607342204,0.0,0.0,1,135,1,2,-0.181559
2022-07-01,2022,2021,V,0.03001997710294538,0.0,0.0,1,135,1,2,-0.181559
2022-07-01,2022,2021,MA,0.029357568365741892,0.0,0.0,1,135,1,2,-0.181559
2022-07-01,2022,2021,MSFT,0.026985364036339058,0.0,0.0,1,135,1,2,-0.181559
2022-07-01,2022,2021,AAPL,0.025956826075562454,0.0,0.0,1,135,1,2,-0.181559
2022-07-01,2022,2021,AMZN,0.02582710447117917,0.0,0.0,1,135,1,2,-0.181559
2022-07-01,2022,2021,UNH,0.024367973204366015,0.0,0.0,1,135,1,2,-0.181559
2022-07-01,2022,2021,PFE,0.023827245827385483,0.0,0.0,1,135,1,2,-0.181559
2022-07-01,2022,2021,GOOGL,0.022949287835753087,0.0,0.0,1,135,1,2,-0.181559
2022-07-01,2022,2021,META,0.021104273746071874,0.0,0.0,1,135,1,2,-0.181559
2022-07-01,2022,2021,TSLA,0.011790084684889726,0.0,0.0,1,135,1,2,-0.181559
2022-08-01,2022,2021,V,0.09716789895825205,0.748219,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,HD,0.09475084323145001,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,PFE,0.07811317185091046,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,WMT,0.07807741902745842,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,PG,0.07566574745735327,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,BRK-B,0.07249523369637731,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,MA,0.07072350028746381,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,JNJ,0.06928086972261067,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,UNH,0.06163945224649192,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,AVGO,0.05952243365279713,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,BAC,0.0449725375337651,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,GOOGL,0.04078139211389425,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,JPM,0.036263301217043624,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,META,0.02786488782419632,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,AAPL,0.023919221970147272,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,MSFT,0.02191070157233202,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,DIS,0.016868627690444234,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,AMZN,0.009994253315670675,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,NVDA,0.009994253315670675,0.0,0.0,10,180,2,2,0.213072
2022-08-01,2022,2021,TSLA,0.009994253315670675,0.0,0.0,10,180,2,2,0.213072
2022-09-01,2022,2021,MSFT,0.09504888575062084,0.49915,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,V,0.07777984863095234,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,TSLA,0.07617952454937832,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,AMZN,0.07600807807428842,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,UNH,0.06902739468488775,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,PFE,0.06892158893953741,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,MA,0.06841185053296392,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,PG,0.06780272085524332,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,HD,0.05862859303909983,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,AAPL,0.048326596425421996,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,BRK-B,0.047155132868277175,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,GOOGL,0.039955171983545174,0.0,0.0,2,50,10,5,-0.170197
