rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
2003-07-01,2003,2002,20,0.2703681873217408,0.0730989567156439,0.2317202165722847,0.1206140545486446,-26.40110399180765,0.6130124540320586,0.75,0.67700320038633,0.05,1,100,1,1.0,1.0,-0.0143849495530314,0.4381703433617716,0.0
2003-10-01,2003,2002,20,0.2813473804877808,0.0791563485073361,0.2435605627298354,0.0477431758515953,-18.529143476494426,0.3248120300751879,0.7,0.0,0.05,1,100,5,1.0,0.7,0.019450499412272,0.6350672655059063,0.0
2004-01-02,2004,2003,20,0.2903952462622111,0.0843293990516902,0.2526752978563309,-0.0144890111481534,-69.43807315243984,0.0637111833781805,0.55,0.0,0.05,1,100,1,1.0,1.0,-0.0352519973372931,0.920586971289806,0.0
2004-04-01,2004,2003,20,0.2838828124635978,0.0805894512122422,0.2498341065645217,0.030502842559492,-62.11473895934439,0.2406015037593984,0.6,0.0,0.05,1,100,5,0.7,0.7,0.0013984838987322,0.6005819302293226,0.0
2004-07-01,2004,2003,20,0.2958875005525282,0.0875494129832224,0.2584511011838913,-0.0532260208507957,-20.322490355181696,-0.3142857142857143,0.55,0.0,0.05,1,100,5,0.7,0.7,-0.0123790312375078,0.7366238893467089,0.0
2004-10-01,2004,2003,20,0.2906887980692958,0.0844999773229718,0.2525336086750031,-0.0165410805771046,-40.04759535207972,-0.2309138937274134,0.7,0.0,0.05,1,100,5,1.0,1.0,-0.0270005845042089,0.6618471035456922,0.0
2005-01-03,2005,2004,20,0.2897192675817666,0.0839372540081152,0.2525340408086777,-0.009771476789357,-35.86482609161911,0.078971197412458,0.3,0.0,0.05,1,100,1,1.0,1.0,-0.0040971751252869,0.7900224851116985,0.0
2005-04-01,2005,2004,20,0.2862919075833994,0.0819630563477417,0.2458866626024246,0.0139782695008514,-56.69635497491443,0.1323308270676691,0.6,0.0,0.05,1,100,3,0.7,0.7,-0.0127544892866253,0.5610963942557172,0.0
2005-07-01,2005,2004,20,0.28134981634649,0.0791577191582036,0.2397462186217308,0.0477266868186031,-65.54579918274477,0.2210526315789473,0.5,0.4677071733467426,0.05,3,100,1,1.0,0.7,0.0159687322397391,0.6824030738385308,0.0
2005-10-03,2005,2004,20,0.2909751120062723,0.0846665158070627,0.2547778934240341,-0.0185445510624087,-40.29525465192476,0.1301730993032994,0.65,0.5590169943749475,0.05,1,100,1,1.0,1.0,-0.0032702957427273,0.8476636988139334,0.0
2006-01-03,2006,2005,20,0.2807103773623765,0.0787983159589278,0.2487252533435821,0.0520503343286878,-41.10053377962958,0.2456675456565074,0.5,0.0,0.05,1,100,5,1.0,1.0,-0.0147551359001094,1.0587178787005993,0.0
2006-04-03,2006,2005,20,0.2927620905631248,0.0857096416708913,0.253104355931282,-0.031093433634783,-62.42812070323121,-0.1844921508130816,0.5,0.0,0.05,1,100,5,1.0,0.7,-0.0117493832517667,0.8375502048260067,0.0
2006-07-03,2006,2005,20,0.2899544330145893,0.0840735732248119,0.2486173689365386,-0.0114114072157829,-19.97876952834408,-0.0557229547591567,0.95,,0.05,1,100,5,1.0,1.0,-0.0009226485142943,0.6325500764761193,0.0
2006-10-02,2006,2005,20,0.2841546047082549,0.0807438393769046,0.2444466054439544,0.0286455413304707,-23.304818781970585,0.2023317179565935,0.65,0.0,0.05,1,100,5,1.0,0.7,0.0163248704646802,0.4379678900169109,0.0
