rebalance_date,invest_year,select_year,n_stocks,best_nodes,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2003-04-01,2003,2002,20,16.000000,64.000000,0.010000,0.044065,0.299100,0.089461,0.259133,-0.076217,-24.705724,-0.043609,0.250000,0.306186,0.670442,0.000000
2003-05-01,2003,2002,20,16.000000,64.000000,0.010000,0.045043,0.304348,0.092627,0.259670,-0.114315,-44.550677,-0.106767,0.350000,0.000000,0.504689,0.000000
2003-06-02,2003,2002,20,16.000000,64.000000,0.010000,0.046044,0.284783,0.081102,0.246141,0.024342,-67.964465,0.315789,0.600000,0.000000,0.366830,0.000000
2003-07-01,2003,2002,20,16.000000,32.000000,0.010000,0.044644,0.304760,0.092879,0.246982,-0.117337,-51.012337,-0.090226,0.450000,0.456435,0.328987,0.000000
2003-08-01,2003,2002,20,16.000000,32.000000,0.010000,0.044385,0.304657,0.092816,0.269285,-0.116582,-103.944799,0.042105,0.700000,0.703526,0.378794,0.000000
2003-09-02,2003,2002,20,16.000000,32.000000,0.010000,0.044521,0.296723,0.088044,0.249441,-0.059181,-150.554095,0.159398,0.450000,0.444750,0.687607,0.000000
2003-10-01,2003,2002,20,16.000000,32.000000,0.010000,0.043119,0.285110,0.081288,0.249257,0.022102,-67.411876,0.165414,0.650000,0.654654,0.682491,0.000000
2003-11-03,2003,2002,20,16.000000,32.000000,0.010000,0.043860,0.312525,0.097672,0.267624,-0.175002,-209.043428,-0.215038,0.350000,0.353553,0.539387,0.000000
2003-12-01,2003,2002,20,16.000000,64.000000,0.010000,0.045918,0.304566,0.092760,0.264871,-0.115914,-35.422169,-0.227068,0.300000,0.420084,0.520030,0.000000
2004-01-02,2004,2003,20,16.000000,32.000000,0.010000,0.044940,0.311399,0.096969,0.255169,-0.166548,-158.859941,-0.096241,0.300000,0.000000,0.551471,0.000000
2004-02-02,2004,2003,20,32.000000,32.000000,0.010000,0.046691,0.310672,0.096517,0.267563,-0.161108,-172.160444,-0.073684,0.500000,0.419314,0.391433,0.000000
2004-03-01,2004,2003,20,16.000000,32.000000,0.010000,0.045008,0.300103,0.090062,0.256748,-0.083447,-150.422953,-0.081203,0.400000,0.400000,0.490587,0.000000
