rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2005-10-03,2005,2004,1,42,20,16,64,0.01,0.04433838650584221,0.31243246090416577,0.09761404262663306,0.2722564092278481,-0.17430427220009714,-46.0267167077068,-0.015037593984962403,0.4,0.0,0.4944144644126202,0.0
2005-11-01,2005,2004,1,42,20,16,64,0.01,0.04314437136054039,0.2914829107429035,0.08496228725515546,0.2540828138589859,-0.022102703821419212,-54.599546315369054,-0.20830336991179405,0.7,0.0,0.45271637164153133,0.0
2005-12-01,2005,2004,1,42,20,16,64,0.01,0.043249715119600296,0.2850311928961219,0.08124278092378626,0.25074184238910674,0.022643237007082928,-118.19982666419722,0.1819548872180451,0.65,0.4,0.6483185763717351,0.0
2006-01-03,2006,2005,1,42,20,16,32,0.01,0.04421145096421242,0.2807964436425998,0.07884664276233175,0.24602858871221547,0.051468959250144275,-64.97010512587109,0.2300751879699248,0.65,0.5741692517632145,0.5515271780092245,0.0
2006-02-01,2006,2005,1,42,20,32,32,0.01,0.04514152556657791,0.2642777288768214,0.06984271798029071,0.2162287545204163,0.15978685136492388,-235.70893136996273,0.42556390977443603,0.65,0.6454972243679028,0.4723177172031136,0.0
2006-03-01,2006,2005,1,42,20,16,32,0.01,0.042618658393621445,0.2737818431104023,0.07495649761692895,0.24201400130987163,0.09826769784145617,-262.69299143781376,0.34285714285714286,0.55,0.5477225575051661,0.5882190875837681,0.0
2006-04-03,2006,2005,1,42,20,16,32,0.01,0.0459488220512867,0.3063575927861741,0.09385497465773926,0.2644200292229652,-0.1290824018976151,-98.55890882569813,0.030075187969924807,0.6,0.5945883900105632,0.8039694420495314,0.0
2006-05-01,2006,2005,1,42,20,16,32,0.01,0.04473770409822464,0.3060790281005034,0.09368437144294875,0.265465460717678,-0.12703003239637578,-140.44654125939815,-0.12481203007518797,0.45,0.4898979485566356,0.6348961161446917,0.0
2006-06-01,2006,2005,1,42,20,16,32,0.01,0.043093226850032806,0.30791410774574335,0.09481109774885724,0.2553009620308876,-0.14058463457271841,-246.24665639441798,0.04060150375939849,0.65,0.6324555320336759,0.4942728621040018,0.0
2006-07-03,2006,2005,1,42,20,16,64,0.01,0.0451136976480484,0.3012919696090084,0.09077685095087565,0.26507043093442917,-0.09205234226617298,-74.32050854930527,-0.3444904342904084,0.35,0.36313651960128146,0.5758923059169696,0.0
2006-08-01,2006,2005,1,42,20,16,64,0.01,0.04555048421025276,0.2810807468257186,0.07900638623610372,0.24327572882175447,0.049547233249879974,-38.141244520708874,0.3804511278195489,0.75,0.46770717334674267,0.6947943885467034,0.0
2006-09-01,2006,2005,1,42,20,16,64,0.01,0.04589188098907471,0.30119877583747984,0.09072070256599643,0.25663156509399415,-0.09137687297439312,-153.22191635911148,-0.3443609022556391,0.1,0.0,0.5575425710317004,0.0
2006-10-02,2006,2005,1,42,20,16,32,0.01,0.04487999901175499,0.28819397997265744,0.08305577009248048,0.2519295033812523,0.0008328409927161884,-101.8295512069034,0.12330827067669171,0.6,0.464420364012824,0.5990728129279297,0.0
2006-11-01,2006,2005,1,42,20,16,32,0.01,0.04501529410481453,0.30298420623823413,0.09179942922981278,0.2585667669773102,-0.10435403584737157,-108.62266618634042,-0.26917293233082706,0.4,0.39528470752104744,0.5409969395211673,0.0
2006-12-01,2006,2005,1,42,20,16,32,0.01,0.04170011729001999,0.27873891093621705,0.07769538046990834,0.25107468068599703,0.0653187311890725,-134.61974478465046,0.2556390977443609,0.7,0.5656854249492381,0.3138387964780568,0.0
2007-01-03,2007,2006,1,42,19,16,64,0.01,0.04518488049507141,0.29109585613044936,0.08473679745631928,0.2626611601117575,-0.019666129391041842,-197.40009645459497,0.1318439077636694,0.47368421052631576,0.4767312946227962,0.8569983482999184,0.0
