rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_dropout,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2000-07-03,2000,1999,1,42,20,16,0.1,0.01,0.04468748718500137,0.31720069362372694,0.10061628003537348,0.25953335911035535,-0.2104214139593803,-9.897411660525108,0.04210526315789473,0.45,0.42640143271122083,0.47531291476458365,0.0
2000-10-02,2000,1999,1,42,20,16,0.3,0.01,0.04639645293354988,0.34039505498618955,0.11586879345905102,0.2866498970985413,-0.3939102972517412,-10.327419223178632,-0.27518796992481204,0.35,0.34641016151377546,0.663854002370073,0.0
2001-01-02,2001,2000,1,42,20,16,0.3,0.01,0.04664226993918419,0.31459381623433075,0.09896926921287985,0.2640586987137794,-0.19060774992938168,-10.34237007767941,-0.09774436090225563,0.4,0.44095855184409843,0.6401020456719838,0.0
2001-04-02,2001,2000,1,42,20,16,0.3,0.01,0.04279489070177078,0.33334214720275046,0.11111698710174016,0.27977251857519153,-0.33674570949461846,-10.718651798365624,-0.018045112781954885,0.55,0.46291004988627577,0.44439320369423424,0.0
2001-07-02,2001,2000,1,42,20,16,0.1,0.01,0.04598289728164673,0.31458631076121024,0.09896454691834874,0.24919008731842038,-0.19055094037111275,-9.737903478973761,0.17293233082706763,0.55,0.5590169943749475,0.6473816607340273,0.0
2001-10-01,2001,2000,1,42,20,16,0.3,0.01,0.045890629291534424,0.2879496744934899,0.0829150150409068,0.24420802503824235,0.002526134846233874,-4.195802678133226,0.3293233082706767,0.6,0.4879500364742666,0.7297093018424096,0.0
2002-01-02,2002,2001,1,42,20,16,0.3,0.01,0.04767511039972305,0.3240049876269815,0.10497923200716044,0.27857752293348315,-0.262908054221479,-35.20892556604212,-0.05864661654135337,0.6,0.628970902033151,0.8040751638183073,0.0
2002-04-01,2002,2001,1,42,20,16,0.3,0.01,0.04512367397546768,0.3500227623578146,0.12251593416859516,0.28823572963476185,-0.4738758997725736,-12.755410547062574,-0.4195488721804511,0.5,0.42008402520840293,0.6527674761125627,0.0
2002-07-01,2002,2001,1,42,20,16,0.3,0.01,0.04527967795729637,0.33589209090413175,0.1128234967319495,0.28166006416082384,-0.3572751486550312,-16.298657013802746,0.03609022556390977,0.45,0.6488856845230502,0.47590521844863715,0.0
2002-10-01,2002,2001,1,42,20,16,0.3,0.01,0.042900554835796356,0.3616703973591823,0.13080547632594883,0.31039322882890696,-0.5735997151993848,-11.018227248012492,-0.2981931092517037,0.35,0.3178208630818641,0.49220963568757276,0.0
