rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_dropout,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2009-01-02,2009,2008,1,42,19,16,0.1,0.01,0.04449505731463432,0.32909370131052795,0.108302664242263,0.2610982022044401,-0.30324205971523144,-14.940827563822303,0.13508771929824562,0.6842105263157895,0.674199862463242,0.7901583984049194,0.0
2009-07-01,2009,2008,1,42,19,16,0.1,0.01,0.04491046443581581,0.31210054922935987,0.0974067528292681,0.26888204586803094,-0.1721279257121926,-2.4475654432660905,0.2543859649122807,0.47368421052631576,0.0,0.510883578020385,0.0
2010-01-04,2010,2009,1,42,20,16,0.1,0.01,0.035498667508363724,0.3268096030287002,0.10680451663177662,0.2735212495923042,-0.28486636549505717,-20.8990065683966,0.12481203007518797,0.5,0.6882472016116853,0.7713604859233256,0.0
2010-07-01,2010,2009,1,42,20,16,0.3,0.01,0.044296085834503174,0.42044096068301423,0.1767706014200559,0.34278273731470105,-1.1265636261059355,-2.7293312673670633,-0.20601503759398496,0.5,0.0,0.6253858429381913,0.0
2011-01-03,2011,2010,1,42,20,16,0.3,0.01,0.04774952679872513,0.4341547613939092,0.1884903568410022,0.35178705453872683,-1.267553165004538,-31.749491821748187,-0.47067669172932325,0.3,0.28426762180748055,0.7830924504517123,0.0
2011-07-01,2011,2010,1,42,20,16,0.1,0.01,0.045854486525058746,0.3760108659164705,0.14138417128725395,0.3100893521308899,-0.7008622109744838,-11.22350641670466,-0.021052631578947364,0.45,0.4494665749754947,0.8402157020715318,0.0
2012-01-03,2012,2011,1,42,19,32,0.1,0.01,0.04338778182864189,0.2869152898985082,0.08232038357754498,0.24032835910029687,0.009411384283542046,-10.446000278473514,0.3350877192982456,0.7368421052631579,0.7071067811865476,0.700039221626083,0.0
2012-07-02,2012,2011,1,42,20,16,0.1,0.01,0.044163741171360016,0.3304210967053935,0.109178101147995,0.29138920903205867,-0.3134207656901651,-25.287239467342136,0.03458646616541353,0.45,0.37605071654517747,0.5461137653199011,0.0
2013-01-02,2013,2012,1,42,20,16,0.1,0.01,0.045206669718027115,0.3576852405197576,0.12793873128567684,0.27831650920212264,-0.5391125568201727,-8.040997290059297,0.08571428571428572,0.45,0.3960590171906697,0.5111944345682105,0.0
2013-07-01,2013,2012,1,42,20,16,0.1,0.01,0.04737720638513565,0.29308574702492385,0.08589925510915766,0.2320077720284462,-0.03337449755377642,-8.248445223748222,0.2571428571428572,0.6,0.5527707983925667,0.6778968010758664,0.0
2014-01-02,2014,2013,1,42,20,16,0.3,0.01,0.04498572275042534,0.3385019552522642,0.11458357370960584,0.28871927022933963,-0.37844900703285234,-31.574329832859448,-0.022556390977443608,0.5,0.4923659639173309,0.7897913729270674,0.0
2014-07-01,2014,2013,1,42,20,16,0.3,0.01,0.04785352572798729,0.3637430395024216,0.13230899878646024,0.28592447578907015,-0.5916872034461382,-26.4300651751709,-0.18796992481203004,0.5,0.3144854510165755,0.6142941793615871,0.0
2015-01-02,2015,2014,1,42,19,16,0.1,0.01,0.046879321336746216,0.30362158913923715,0.09218606939143573,0.2307421360732446,-0.10930570167694365,-30.03453584538002,0.23157894736842102,0.47368421052631576,0.4767312946227962,0.8086921722600946,0.0
2015-07-01,2015,2014,1,42,19,16,0.3,0.01,0.04391186311841011,0.453897521088435,0.2060229596502263,0.35037354493405354,-1.4791429477910567,-22.872755491929077,-0.5526315789473685,0.3157894736842105,0.3086066999241838,0.5189981690099644,0.0
2016-01-04,2016,2015,1,42,19,16,0.1,0.01,0.04311990365386009,0.38208771080582155,0.1459910187488331,0.3269676765906844,-0.756758592277625,-12.065307911941623,-0.25263157894736843,0.42105263157894735,0.4264014327112209,0.6816010546434869,0.0
2016-07-01,2016,2015,1,42,20,16,0.3,0.01,0.04589376971125603,0.39366335670101643,0.1549708384091117,0.31711738854646687,-0.8643108380043512,-6.720258577332074,-0.30225563909774433,0.5,0.3273268353539886,0.7372690939488913,0.0
2017-01-03,2017,2016,1,42,20,16,0.3,0.01,0.04314401000738144,0.25045496598187744,0.06272768998498339,0.21783370435237887,0.2453811731129818,-9.519726281203193,0.5503759398496241,0.8,0.8563488385776752,0.7665291166941223,0.0
2017-07-03,2017,2016,1,42,20,16,0.3,0.01,0.039083342999219894,0.27342307122967885,0.07476017588067002,0.23407701432704925,0.10062946308968401,-3.104524177580279,0.362406015037594,0.6,,0.5904088770826704,0.0
2018-01-02,2018,2017,1,42,20,16,0.1,0.01,0.04329519718885422,0.33175888915218904,0.11006396053149445,0.2635672584176064,-0.3240777206796326,-18.887815928727615,0.11428571428571428,0.6,0.5945883900105632,0.5652874404431624,0.0
2018-07-02,2018,2017,1,42,20,16,0.3,0.01,0.040703702718019485,0.33637554387454977,0.11314850651689914,0.28876696377992633,-0.36118504080480185,-12.323981262969127,-0.22556390977443608,0.45,0.28867513459481287,0.6171612070477397,0.0
2019-01-02,2019,2018,1,42,20,16,0.3,0.01,0.048310503363609314,0.3637781968553107,0.13233457650730118,0.30971993178129203,-0.5919949053509916,-3.336072476043647,0.06616541353383458,0.4,,0.6142625670636681,0.0
2019-07-01,2019,2018,1,42,20,32,0.3,0.01,0.04797912761569023,0.3472838141460443,0.12060604756782425,0.2612014821171761,-0.45089982036480314,-9.386037710948575,0.12330827067669171,0.65,0.0,0.5273029498318953,0.0
2020-01-02,2020,2019,1,42,20,16,0.3,0.01,0.04663620516657829,0.29431169563417797,0.08661937418706502,0.24216158568859097,-0.042037584205293355,-7.355072247969298,0.22339226852456615,0.6,0.6030226891555273,0.7249022049701342,0.0
2020-07-01,2020,2019,1,42,20,32,0.3,0.01,0.04069175198674202,0.29206826806536257,0.0853038732107005,0.23886603116989136,-0.02621200854978034,-1.0967598429269527,0.30526315789473685,0.4,0.44095855184409843,0.6952688596650729,0.0
2021-01-04,2021,2020,1,42,20,16,0.3,0.01,0.04633808508515358,0.33872761643928456,0.11473639813863909,0.26713283538818355,-0.38028749640468074,-3.9236251005694633,0.13383458646616542,0.65,0.5416025603090641,0.9111085734800722,0.0
2021-07-01,2021,2020,1,42,20,32,0.3,0.01,0.039926864206790924,0.36651089522133373,0.13433023631594349,0.3082698334753513,-0.6160028428985684,-2.5577293925535054,-0.11278195488721804,0.35,0.36313651960128146,0.5047861624406251,0.0
2022-01-03,2022,2021,1,42,20,16,0.1,0.01,0.04066116735339165,0.3914852734007052,0.15326071928962492,0.32671341210603716,-0.8437379764165402,-7.754610164819535,-0.33684210526315783,0.4,0.44095855184409843,0.6563767251146639,0.0
2022-07-01,2022,2021,1,42,20,16,0.3,0.001,0.046176813542842865,0.3431807695597743,0.11777304059563891,0.29735721364617346,-0.41681853348137055,-12.142691559531658,-0.23157894736842105,0.45,0.42640143271122083,0.4624277151000191,0.0
2023-01-03,2023,2022,1,42,20,16,0.3,0.01,0.04414195194840431,0.27532992064915274,0.07580656520466873,0.23193371891975403,0.0880413208460904,0.22931983945536183,0.3383458646616541,0.55,0.565685424949238,0.8127729066980266,0.0
2023-07-03,2023,2022,1,42,20,32,0.3,0.01,0.04666747525334358,0.33528873587355346,0.11241853640368549,0.26877735733985897,-0.3524034454578706,-13.56506153696406,0.05263157894736842,0.4,0.4225771273642583,0.2925319686843604,0.0
2024-01-02,2024,2023,1,42,20,16,0.3,0.01,0.04088401049375534,0.3170572367233201,0.10052529135862742,0.2620254981517792,-0.2093268133368711,-0.06031596135266448,0.1641568126688672,0.45,0.3960590171906697,0.5616934136449834,0.0
2024-07-01,2024,2023,1,42,20,16,0.3,0.01,0.04412020370364189,0.34523201096565637,0.11918514139539108,0.3012437073886394,-0.43380621227538096,-1.499910083013443,-0.19248120300751878,0.35,0.3429971702850177,0.4596795374378962,0.0
2025-01-02,2025,2024,1,42,20,16,0.1,0.01,0.04427541419863701,0.2773286488933787,0.07691117949702692,0.25751791298389437,0.07475272785531539,-6.970810545140339,0.3811347891502029,0.6,0.628970902033151,0.565711183881288,0.0
2025-07-01,2025,2024,1,42,20,16,0.3,0.01,0.04485863074660301,0.348675179639796,0.121574380896844,0.28135506391525267,-0.4625489431199279,-2.4589530456659454,-0.09186757406239357,0.55,0.5135525910130955,0.8580032483887265,0.0
