rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2001-07-02,2001,2000,5,46,20,16,0.3,64,0.01,0.037036869674921036,0.34633674187370705,0.11994913877169477,0.30830785602331157,-0.4429971581557266,-7.595208422441285,-0.5097744360902255,0.5,0.30618621784789724,0.9024500756277049,0.0
2001-10-01,2001,2000,5,46,20,32,0.3,32,0.01,0.03190252557396889,0.3125299488803264,0.09767496894713945,0.25712393879890444,-0.175037220416715,-1.4021236928387348,0.08270676691729321,0.4,0.3779644730092272,0.7809462071071183,0.0
2002-01-02,2002,2001,5,46,20,16,0.2,32,0.01,0.03572235628962517,0.274895671049234,0.07556762996160868,0.24128631979227064,0.09091572978515872,-34.262029734065294,0.29774436090225564,0.6,0.6201736729460423,0.7132456739204085,0.0
2002-04-01,2002,2001,5,46,20,16,0.2,32,0.01,0.032271143049001694,0.2819022223747595,0.07946886297982836,0.24018569707870485,0.043983603250185244,-10.499592268869291,0.21353383458646616,0.6,0.6262242910851494,0.328778316732217,0.0
2002-07-01,2002,2001,5,46,20,32,0.2,64,0.01,0.038397811353206635,0.3034631588131661,0.09208988875686488,0.25915182650089263,-0.10784828579687078,-9.918372998801091,0.08721804511278194,0.95,0.0,0.711156256122889,0.0
2002-10-01,2002,2001,5,46,20,16,0.3,32,0.01,0.039269525557756424,0.32404387392387696,0.10500443222759345,0.2738535153865814,-0.26321121476804143,-6.086042934925878,-0.4090225563909774,0.4,0.0,0.5106614632673726,0.0
2003-01-02,2003,2002,5,46,20,16,0.2,32,0.01,0.03758132830262184,0.32653166131230704,0.10662292583937519,0.27840576589107513,-0.2826818146090244,-35.670595526437026,-0.07368421052631578,0.8,0.0,0.7441359610838312,0.0
2003-04-01,2003,2002,5,46,20,16,0.2,64,0.01,0.04054555296897888,0.3032852986210126,0.09198197235963679,0.2552190765738488,-0.10655004342420193,-5.293900479694898,0.012030075187969924,0.05,0.0,0.42508549348825886,0.0
2003-07-01,2003,2002,5,46,20,32,0.2,32,0.01,0.038797494024038315,0.34307115407577504,0.11769781675888416,0.2940867990255356,-0.4159135850692832,-16.699144500151213,-0.3984962406015037,0.3,0.0,0.32893137204702644,0.0
2003-10-01,2003,2002,5,46,20,16,0.2,32,0.01,0.04014931619167328,0.30468012113025567,0.09282997621194727,0.24955595701932903,-0.116751593527185,-9.714924191127498,0.22105263157894736,0.2,0.24253562503633297,0.5514838533921682,0.0
2004-01-02,2004,2003,5,46,20,16,0.2,32,0.01,0.03220442309975624,0.331036548346683,0.10958519634128579,0.2737824818491936,-0.3183181514741147,-35.95387277677262,0.04060150375939849,0.4,0.0,0.6449770767305409,0.0
2004-04-01,2004,2003,5,46,20,32,0.2,32,0.01,0.03288397938013077,0.306398645721304,0.09388013009984916,0.2556825226545334,-0.12938502375758376,-32.42129720517629,0.35037593984962395,0.45,0.28867513459481287,0.5890580024213427,0.0
2004-07-01,2004,2003,5,46,20,32,0.2,32,0.01,0.03531147539615631,0.38967562180049525,0.1518470902256026,0.3228533253073692,-0.8267319124884527,-6.5657526952159735,-0.19999999999999998,0.45,0.0,0.6701882051576478,0.0
