rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,run_number,seed
2005-04-01,2005,2004,CVX,0.02848172001540661,0.0,0.0,32,0.2,32,0.01,0.036192,3,44
2005-04-01,2005,2004,IBM,0.009997157379984856,0.0,0.0,32,0.2,32,0.01,0.036192,3,44
2005-04-01,2005,2004,WFC,0.009997157379984856,0.0,0.0,32,0.2,32,0.01,0.036192,3,44
2005-05-02,2005,2004,JNJ,0.09895319491624832,0.816992,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,XOM,0.09698966890573502,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,GE,0.08887457102537155,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,CVX,0.08537524193525314,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,BAC,0.07985351234674454,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,WFC,0.059280816465616226,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,MSFT,0.058416590094566345,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,C,0.05135144665837288,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,PG,0.05085407942533493,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,IBM,0.04996434226632118,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,KO,0.045067496597766876,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,INTC,0.03720390424132347,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,HD,0.03577589616179466,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,UPS,0.0337291844189167,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,VZ,0.03199196606874466,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,JPM,0.02813071943819523,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,PFE,0.027779068797826767,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,WMT,0.020412413403391838,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,CSCO,0.00999794714152813,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-05-02,2005,2004,AIG,0.00999794714152813,0.0,0.0,32,0.2,32,0.01,0.035231,3,44
2005-06-01,2005,2004,BAC,0.10000454634428024,0.29751,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,GE,0.10000454634428024,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,JNJ,0.10000454634428024,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,WFC,0.10000454634428024,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,KO,0.07894127070903778,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,XOM,0.07291169464588165,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,MSFT,0.07206235080957413,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,CVX,0.06760135293006897,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,INTC,0.04291548207402229,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,HD,0.035191379487514496,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,PG,0.03226041793823242,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,C,0.02968333661556244,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,CSCO,0.028532061725854874,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,VZ,0.028493065387010574,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,UPS,0.02496817521750927,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,PFE,0.022753991186618805,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,JPM,0.022305848076939583,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,AIG,0.015587719157338142,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
