rebalance_date,ticker,invest_year,select_year,assigned_weight,turnover,tc_drag_bps,best_nodes,best_batch,best_lr,best_val_loss
2009-01-02,CSCO,2009,2008,0.078698,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,CVX,2009,2008,0.042002,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,GE,2009,2008,0.024223,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,GOOGL,2009,2008,0.049369,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,IBM,2009,2008,0.023234,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,INTC,2009,2008,0.048822,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,JNJ,2009,2008,0.043179,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,JPM,2009,2008,0.071682,0.462332,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,KO,2009,2008,0.010954,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,MSFT,2009,2008,0.082914,0.415431,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,ORCL,2009,2008,0.057009,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,PEP,2009,2008,0.017749,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,PFE,2009,2008,0.061414,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,PG,2009,2008,0.040330,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,T,2009,2008,0.064151,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,VZ,2009,2008,0.065313,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,WFC,2009,2008,0.100004,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,WMT,2009,2008,0.069299,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-01-02,XOM,2009,2008,0.049654,0.000000,0.000000,16.000000,48.000000,0.010000,0.039415
2009-07-01,CSCO,2009,2008,0.037865,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,CVX,2009,2008,0.046981,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,GE,2009,2008,0.093738,0.734904,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,GOOGL,2009,2008,0.063465,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,IBM,2009,2008,0.053516,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,INTC,2009,2008,0.078465,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,JNJ,2009,2008,0.066461,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,JPM,2009,2008,0.045277,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,KO,2009,2008,0.048818,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,MSFT,2009,2008,0.045808,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,ORCL,2009,2008,0.057613,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,PEP,2009,2008,0.063685,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,PFE,2009,2008,0.024347,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,PG,2009,2008,0.030212,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,T,2009,2008,0.072827,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,VZ,2009,2008,0.073160,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,WFC,2009,2008,0.036382,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,WMT,2009,2008,0.026384,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2009-07-01,XOM,2009,2008,0.034994,0.000000,0.000000,16.000000,48.000000,0.010000,0.042264
2010-01-04,AAPL,2010,2009,0.070656,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,BAC,2010,2009,0.100007,0.942441,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,CSCO,2010,2009,0.077297,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,CVX,2010,2009,0.013427,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,GOOGL,2010,2009,0.053003,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,IBM,2010,2009,0.046324,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,INTC,2010,2009,0.072118,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,JNJ,2010,2009,0.038118,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,JPM,2010,2009,0.100007,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,KO,2010,2009,0.054304,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,MRK,2010,2009,0.035445,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,MSFT,2010,2009,0.040445,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,ORCL,2010,2009,0.023651,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,PFE,2010,2009,0.064786,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,PG,2010,2009,0.059095,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,T,2010,2009,0.012256,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,VZ,2010,2009,0.012256,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,WFC,2010,2009,0.100007,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,WMT,2010,2009,0.014541,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-01-04,XOM,2010,2009,0.012256,0.000000,0.000000,24.000000,32.000000,0.010000,0.041626
2010-07-01,AAPL,2010,2009,0.048801,0.264744,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,BAC,2010,2009,0.064922,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,CSCO,2010,2009,0.047233,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,CVX,2010,2009,0.041027,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,GOOGL,2010,2009,0.045201,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,IBM,2010,2009,0.031052,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,INTC,2010,2009,0.049202,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,JNJ,2010,2009,0.064815,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,JPM,2010,2009,0.041046,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,KO,2010,2009,0.058372,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,MRK,2010,2009,0.049643,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,MSFT,2010,2009,0.047453,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,ORCL,2010,2009,0.049054,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,PFE,2010,2009,0.046731,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,PG,2010,2009,0.073077,0.309450,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,T,2010,2009,0.040764,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,VZ,2010,2009,0.055190,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,WFC,2010,2009,0.053264,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,WMT,2010,2009,0.064120,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2010-07-01,XOM,2010,2009,0.029032,0.000000,0.000000,16.000000,48.000000,0.010000,0.039739
2011-01-03,AAPL,2011,2010,0.035910,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,BAC,2011,2010,0.043895,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,BRK-B,2011,2010,0.010491,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,C,2011,2010,0.076757,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,CVX,2011,2010,0.042449,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,GE,2011,2010,0.019063,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,GOOGL,2011,2010,0.039666,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,IBM,2011,2010,0.041008,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
