rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2012-01-03,2012,2011,3,44,20,16,32,0.01,0.037828557193279266,0.358699590824325,0.1286653964575382,0.32270468175411227,-0.5478543934741436,-7.166148338672992,-0.1639097744360902,0.45,0.3960590171906697,0.7731257869417947,0.0
2012-07-02,2012,2011,3,44,20,16,32,0.01,0.03764571622014046,0.3798235551402942,0.1442659330394121,0.34452294856309884,-0.735530021526762,-25.53641575533684,-0.5834586466165413,0.2,0.0,0.692609965373541,0.0
2013-01-02,2013,2012,3,44,20,16,32,0.01,0.03353196755051613,0.3813402301667848,0.1454203711436564,0.33387986704707145,-0.7494179987206784,-7.529663840796212,-0.1857841425103294,0.6,0.6262242910851494,0.546274366161033,0.0
2013-07-01,2013,2012,3,44,20,16,32,0.01,0.041246216744184494,0.35445008392586697,0.12563486199505414,0.3021375221014023,-0.5113968360307264,-6.488639377774323,0.03308270676691729,0.55,0.7071067811865476,0.5849547444770848,0.0
2014-01-02,2014,2013,3,44,20,16,32,0.01,0.04127079248428345,0.28147178490154945,0.07922636569566412,0.24297519236803056,0.04690086381155956,-27.530195310540496,0.11578947368421053,0.6,0.5685352436149611,0.7616840769448734,0.0
2014-07-01,2014,2013,3,44,20,16,32,0.01,0.042775508016347885,0.33740367468326027,0.11384123968976731,0.2540422281622886,-0.36951867295960694,-23.554795575792927,0.05864661654135337,0.55,0.5135525910130955,0.8077090946272643,0.0
2015-01-02,2015,2014,3,44,20,16,32,0.01,0.03923121094703674,0.2584237394520072,0.06678282911235889,0.22153957217931747,0.19659754451297584,-21.146058988397268,0.5052631578947367,0.7,0.6963106238227914,0.755278214003552,0.0
2015-07-01,2015,2014,3,44,20,16,64,0.01,0.03952980041503906,0.3100066920031111,0.09610414908671179,0.27301453143358234,-0.15614013938901405,-9.03976951940264,0.09774436090225563,0.5,0.46770717334674267,0.6244706425477584,0.0
2016-01-04,2016,2015,3,44,20,32,32,0.01,0.037503935396671295,0.3978082296313699,0.15825138756244472,0.33769998759031294,-0.9037760909767785,-12.937170731984823,-0.25112781954887214,0.3,0.28867513459481287,0.7806080263402251,0.0
2016-07-01,2016,2015,3,44,20,16,32,0.01,0.03339362144470215,0.20827101206424506,0.043376814466264915,0.16909766227006912,0.4781736605562116,-3.708318138090828,0.732330827067669,0.8,0.809173593712687,0.4239850030279143,0.0
2017-01-03,2017,2016,3,44,20,16,32,0.01,0.03748947009444237,0.21383109243998338,0.04572373609407672,0.1808525782823563,0.4499400169133627,-8.791374182507797,0.7030504780924519,0.75,0.816496580927726,0.7943470852970032,0.0
2017-07-03,2017,2016,3,44,20,16,32,0.01,0.03576235845685005,0.3225268206903415,0.10402355006461969,0.26634587913751606,-0.2514111285969287,-3.0118672952892585,-0.04060150375939849,0.5,,0.7608036477119028,0.0
2018-01-02,2018,2017,3,44,20,16,32,0.01,0.03866061940789223,0.2919398399672397,0.08522887016009753,0.25522715151309966,-0.02530971621169953,-14.21393012194132,0.10225563909774435,0.45,0.4494665749754947,0.43982845992107766,0.0
2018-07-02,2018,2017,3,44,20,16,64,0.01,0.03580275550484657,0.32587080085640446,0.10619177885079442,0.2837287560105324,-0.2774950839193313,-12.739616682157846,-0.10526315789473684,0.4,0.27003086243366087,0.5754707904396585,0.0
2019-01-02,2019,2018,3,44,20,16,32,0.01,0.031635742634534836,0.2997994293924971,0.08987969786406687,0.2307537239789963,-0.08125952317674412,-4.829475805958533,0.2995808673204708,0.65,,0.5677997556317218,0.0
2019-07-01,2019,2018,3,44,20,16,64,0.01,0.03877820074558258,0.2839295434796485,0.08061598566056162,0.2467456805706024,0.030183631151138535,-4.844432434251684,0.2300751879699248,0.65,0.4330127018922193,0.44271935890430786,0.0
2020-01-02,2020,2019,3,44,20,32,64,0.01,0.03481942042708397,0.25603354922593363,0.06555317832922859,0.20857044756412502,0.21139033588897937,-4.842820843109956,0.5278195488721804,0.65,0.5504818825631803,0.8188354779963942,0.0
2020-07-01,2020,2019,3,44,20,32,32,0.01,0.0397212877869606,0.2968817876191334,0.08813879581993225,0.2609836949408054,-0.06031634069091418,-0.7198091027865221,0.21954887218045113,0.45,0.4714045207910317,0.5814770857153818,0.0
2021-01-04,2021,2020,3,44,20,32,32,0.01,0.043079718947410583,0.28506997574245513,0.08126489106980396,0.2269483259320259,0.02237725028807258,-2.1157921811179783,0.4240601503759398,0.6,0.6531972647421809,0.5015205312525213,0.0
2021-07-01,2021,2020,3,44,20,32,32,0.01,0.04078013449907303,0.306099821374499,0.09369710064550019,0.27561798453330993,-0.12718316566015253,-3.002421441503617,0.11879699248120301,0.55,0.5741692517632146,0.6499915424692733,0.0
2022-01-03,2022,2021,3,44,20,16,32,0.01,0.0344436839222908,0.35208846193521515,0.12396628502790544,0.2937450638413429,-0.4913237296590127,-6.162161253998838,-0.3804511278195489,0.4,0.0,0.7744311377668203,0.0
2022-07-01,2022,2021,3,44,20,16,32,0.01,0.032231803983449936,0.40135853042140907,0.16108866994203314,0.3574534144997597,-0.9379088113327294,-11.079092514307057,-0.5661455643822286,0.3,0.30151134457776363,0.6484859580078397,0.0
2023-01-03,2023,2022,3,44,20,16,32,0.01,0.035131461918354034,0.24282448995239644,0.05896373292064148,0.1955747136473656,0.29066185960130553,0.33950695528606367,0.6045112781954887,0.6,0.6,0.9027959742489158,0.0
2023-07-03,2023,2022,3,44,20,16,32,0.01,0.040344856679439545,0.33352814435955475,0.11124102307992798,0.25212463885545733,-0.3382378716382315,-16.96774495351451,-0.05263157894736842,0.65,0.511766315719159,0.8004019360838085,0.0
2024-01-02,2024,2023,3,44,20,16,32,0.01,0.04191238805651665,0.27154558543245677,0.07373700496785568,0.22373407721519464,0.11293828610098433,-0.06879309657413013,0.43909774436090226,0.65,0.48507125007266594,0.8131462504941137,0.0
2024-07-01,2024,2023,3,44,20,32,32,0.01,0.040175341069698334,0.3466047106497261,0.12013482544458036,0.2881248071789742,-0.44523098279194406,-2.287400827494737,-0.23759398496240602,0.65,0.48507125007266594,0.7710517333667756,0.0
2025-01-02,2025,2024,3,44,20,16,32,0.01,0.038894832134246826,0.28806210719813147,0.08297977760342777,0.260327111184597,0.00174703634974116,-9.30502693807044,0.22857142857142856,0.5,0.3144854510165755,0.7327584875475452,0.0
2025-07-01,2025,2024,3,44,20,16,32,0.01,0.03684400022029877,0.28742620154222803,0.0826138213329935,0.2595096880197525,0.006149517798574422,-1.7124403526426892,0.28872180451127816,0.55,0.5135525910130955,0.5356864998595384,0.0
