rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
2014-01-02,2014,2013,20,0.29636519173171977,0.08783232687017903,0.2552513402700424,-0.0566294961826046,-31.339153810612444,-0.06639055863056456,0.55,0.0,0.05,1,1,0.5,200,3,1.0,1.0,-0.1360093109577587,0.5959866583689197,0.0
2014-07-01,2014,2013,20,0.28790050183798715,0.08288669895856486,0.249424397945404,0.0028667794458361318,-17.648035295943355,-0.041954508682832334,0.65,0.0,0.05,1,1,0.5,200,5,1.0,1.0,-0.13722630717624895,0.4306937729860871,0.0
2015-01-02,2015,2014,19,0.2905178600411752,0.08440062700290386,0.2511013113890989,-0.015620878268276517,-27.942604702475013,-0.1645331944290769,0.42105263157894735,0.2820380374088831,0.05,1,1,0.5,100,5,1.0,0.8,-0.11069557538354435,0.6467439356499894,0.0
2015-07-01,2015,2014,20,0.30797272072515314,0.09484719671085318,0.2661894470453262,-0.14101890779973747,-12.990299733035508,-0.2746426661601404,0.45,0.4330127018922193,0.3,5,1,0.5,100,1,1.0,1.0,0.0152243426760299,0.5598174706247602,0.0
2016-01-04,2016,2015,20,0.28422426360752284,0.08078343202323865,0.24574308514595028,0.028169238818181785,-11.034666762146445,0.11578947368421053,0.65,0.5590169943749475,0.05,5,1,0.5,200,3,1.0,1.0,0.0786284704528879,0.678545844324806,0.0
2016-07-01,2016,2015,20,0.25414562535337915,0.06458999888626016,0.22421301692724227,0.22297745700739668,-4.058876830193905,0.583678115740954,0.65,0.6546536707079772,0.1,2,10,0.5,135,1,1.0,0.8,0.1005261793953286,0.8233231089648102,0.0
2017-01-03,2017,2016,20,0.28458610303568344,0.08098925004103662,0.2574921157956123,0.02569323258903322,-11.045580717790797,0.19326113985210747,0.75,0.5887840577551898,0.3,2,5,0.5,100,1,1.0,1.0,0.11025907905634913,0.6030283077012945,0.0
2017-07-03,2017,2016,20,0.2902437223660723,0.08424141837291368,0.24683769762516022,-0.01343059696738269,-3.075115317089435,0.08349003975160553,0.85,,0.05,1,1,0.5,200,5,0.8,1.0,0.09803739405398482,0.5330432954616077,0.0
2018-01-02,2018,2017,20,0.29001558886570333,0.08410904178512067,0.2554787245392799,-0.011838096663105757,-15.374012065979798,0.13845000157113926,0.55,0.5318160234783105,0.3,2,1,0.5,100,3,1.0,0.8,0.13499345379624994,0.49411187113707195,0.0
2018-07-02,2018,2017,20,0.3064097896200074,0.09388695917497722,0.2657419097423553,-0.12946717804483865,-17.300995777276523,-0.27557720490114235,0.45,0.4330127018922193,0.1,1,1,0.5,135,1,1.0,1.0,0.06438657300552031,0.33758924885838865,0.0
