rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected
2001-01-02,2001,2000,PG,0.08849897980690002,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,CSCO,0.08431950956583023,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,IBM,0.08431950956583023,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,HD,0.08431950956583023,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,LLY,0.08431950956583023,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,WMT,0.08431950956583023,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,T,0.08165446668863297,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,ORCL,0.06125789135694504,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,INTC,0.06125789135694504,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,MRK,0.010803012177348137,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,PFE,0.010803012177348137,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,GE,0.010803012177348137,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,XOM,0.010803012177348137,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,C,0.010803012177348137,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,KO,0.010803012177348137,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,AIG,0.010803012177348137,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,VZ,0.010803012177348137,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,JNJ,0.010803012177348137,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
2002-01-02,2002,2001,CSCO,0.10000179708003998,1.050769,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,C,0.09840932488441467,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,GE,0.09544455260038376,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,INTC,0.08967971801757812,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,IBM,0.08374646306037903,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,BAC,0.07976651191711426,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,PG,0.05455244705080986,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,JNJ,0.04881816729903221,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,T,0.03997191786766052,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,WMT,0.03372092917561531,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,VZ,0.0336158461868763,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,AIG,0.03333544731140137,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,KO,0.032746221870183945,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,BMY,0.032262999564409256,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,CVX,0.030770709738135338,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,XOM,0.02684647962450981,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,PFE,0.02684647962450981,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,HD,0.02511204034090042,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,MRK,0.024152295663952827,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2002-01-02,2002,2001,MSFT,0.010199655778706074,0.0,0.0,0.05,5,200,5,1.0,0.8,-0.21961
2003-01-02,2003,2002,INTC,0.10000544041395187,0.640182,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,CSCO,0.10000544041395187,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
