rebalance_date,n_stocks,best_learning_rate,best_max_depth,best_reg_lambda,best_n_estimators,best_gamma,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
2004-01-02,20,0.01,1,5,50,0.0,0.28966519663187984,0.08390592613978562,0.2504065692424774,-0.009394600177872192,-0.09115557139218065,0.55,0.0
2004-04-01,20,0.01,1,1,50,0.0,0.28609173164937923,0.08184847891814043,0.24903062283992766,0.015356644593799373,0.2588775490236493,0.6,0.0
2004-07-01,20,0.01,1,5,50,0.0,0.2916388620735718,0.08505322587156786,0.2540871173143387,-0.023196702214350218,-0.27191400113346864,0.55,0.0
2004-10-01,20,0.01,1,5,50,0.0,0.2899571124347691,0.08407512705150935,0.25256960391998284,-0.011430099867781651,-0.1055790849901261,0.75,0.0
2005-01-03,20,0.01,3,1,50,0.0,0.28545139994704244,0.08148250173172639,0.24717396199703212,0.019759377663442046,0.17935237995781833,0.3,0.0
2005-04-01,20,0.01,1,1,50,0.0,0.2880143033802515,0.08295223895161158,0.2502832770347595,0.0020783284016652193,-0.04836034514978262,0.6,0.0
2005-07-01,20,0.01,1,1,50,0.0,0.2836473619452294,0.08045582593848796,0.24592259228229524,0.03211036464976902,0.6121533636970079,0.4,0.0
2005-10-03,20,0.01,2,3,50,0.0,0.28958535503653815,0.08385967785163784,0.2513383090496063,-0.008838229794139396,0.011312268664507276,0.6,0.0
2006-01-03,20,0.01,2,3,100,0.0,0.27912151422000664,0.07790881970046937,0.24732988774776463,0.06275104119736097,0.43278390015048607,0.55,0.42426406871192857
2006-04-03,20,0.01,5,5,50,0.0,0.28568017034345117,0.08161315972746326,0.25239758342504504,0.01818755215081802,0.14736842105263157,0.5,0.458257569495584
2006-07-03,20,0.01,2,3,50,0.0,0.2859053503050306,0.08174186933304228,0.24783020019531254,0.016639165918288512,0.13222675522898336,0.9,
2006-10-02,20,0.01,1,5,50,0.0,0.28420152575648494,0.08077050724231397,0.24331392645835875,0.02832472490449378,0.3236920514380121,0.7,0.0
2007-01-03,19,0.01,3,5,50,0.1,0.29788868205858027,0.08873766689859793,0.25764884909104113,-0.06780992501312832,-0.3589293895336233,0.3157894736842105,0.3380617018914066
2007-04-02,19,0.01,3,5,50,0.0,0.2891714868148137,0.08362014878668997,0.2561910947439083,-0.006229123733169306,-0.04385964912280702,0.7368421052631579,0.0
2007-07-02,19,0.01,1,5,200,0.0,0.29965747703270146,0.089794603541604,0.26380824720760465,-0.08052839595063488,-0.4782071898577673,0.5263157894736842,0.0
2007-10-01,19,0.01,5,5,100,0.1,0.2902636365273517,0.08425297869008254,0.25194546060218703,-0.013844176903992977,-0.05964912280701754,0.47368421052631576,0.4879500364742666
2008-01-02,19,0.2,1,5,50,0.0,0.320608391336363,0.10278974059529049,0.26218350458673495,-0.23690321182999585,-0.2869679960329946,0.47368421052631576,0.4472135954999579
2008-04-01,20,0.01,2,3,50,0.0,0.2978501634242554,0.08871471985185565,0.25779212117195127,-0.06724475009751152,-0.32602714962447576,0.2,0.0
2008-07-01,20,0.01,1,5,50,0.0,0.2836083313752341,0.08043368562544459,0.24591686129570003,0.032376714280365926,-0.14223399905347234,0.4,0.0
2008-10-01,20,0.01,1,1,100,0.0,0.29690699120377884,0.08815376142568081,0.25655301511287687,-0.06049637805330299,0.01145615761030997,0.15,0.0
2009-01-02,19,0.01,1,5,100,0.0,0.2860540955730234,0.0818269455941004,0.243647608235272,0.01534908801765833,0.2612146295802877,0.10526315789473684,0.0
2009-04-01,19,0.01,1,1,50,0.0,0.2890395639853237,0.08354386954882605,0.2489570456858817,-0.00531123023754021,-0.17110292881545167,0.7894736842105263,0.0
2009-07-01,19,0.01,1,1,50,0.0,0.2936022168400129,0.08620226173336996,0.2550214418413897,-0.037300549524885485,-0.3625929078166889,0.8421052631578947,0.0
2009-10-01,19,0.01,2,1,50,0.0,0.28190025307577526,0.07946775268418614,0.24498949346449894,0.043738042700293356,0.0871484275732599,0.9473684210526315,0.97182531580755
2010-01-04,20,0.01,1,1,100,0.0,0.2777070358155459,0.07712119774145688,0.2422741860151291,0.07222619258397744,0.397618856948943,0.55,0.0
2010-04-01,20,0.01,2,1,50,0.0,0.29551533675077307,0.08732931425492282,0.254687637090683,-0.05057821660057549,-0.25552850327769067,0.05,0.0
2010-07-01,20,0.01,3,1,50,0.0,0.3029705937810691,0.0917911806960536,0.25937887132167814,-0.10425480536605836,-0.422005599900749,0.8,0.0
2010-10-01,20,0.01,2,1,100,0.0,0.2948505332220364,0.0869368369413192,0.2560302671790123,-0.04585668500835127,-0.014296467553541553,0.75,0.0
2011-01-03,20,0.01,3,5,50,0.0,0.289698527878088,0.0839252370547313,0.2511031746864319,-0.009626911936617022,-0.017525367403487563,0.6,0.0
2011-04-01,20,0.01,2,1,50,0.0,0.2804613781336603,0.07865858462463197,0.24324744790792466,0.0537313127863821,0.5584226939593986,0.5,0.30151134457776363
2011-07-01,20,0.01,3,1,50,0.1,0.2906321933988389,0.08446707183982011,0.2533115640282631,-0.016145225140693054,-0.15507824937775244,0.15,0.23570226039551584
2011-10-03,20,0.01,1,5,50,0.0,0.2855979244803848,0.08156617446750357,0.24585898220539099,0.01875278836085925,0.39041380889023936,0.95,0.0
2012-01-03,20,0.01,1,5,50,0.0,0.28134553850732436,0.07915531203797634,0.24180032610893248,0.04775564465592386,0.5493422816021808,0.85,0.0
2012-04-02,20,0.01,1,5,100,0.0,0.2883212987218817,0.08312917129667256,0.2499014139175415,-5.018101260234609e-05,0.07059141253709526,0.45,0.0
2012-07-02,20,0.01,2,5,50,0.0,0.28117470920313553,0.07905921709546784,0.2413043361902237,0.04891167403948449,0.253144337350319,0.8,0.0
