rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected
2000-07-03,2000,1999,HD,0.06787680089473724,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,WMT,0.06646811217069626,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,IBM,0.06633298844099045,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,T,0.06496219336986542,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,MSFT,0.06424816697835922,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,BMY,0.06115283444523811,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,VZ,0.05419962480664253,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,XOM,0.042292654514312744,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,C,0.019779423251748085,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,KO,0.012344252318143845,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,PFE,0.011551003903150558,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,AIG,0.009997230023145676,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,GE,0.009997230023145676,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,MRK,0.009997230023145676,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,JNJ,0.009997230023145676,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2001-01-02,2001,2000,MSFT,0.10000841319561005,0.753626,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,INTC,0.10000841319561005,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,CSCO,0.10000841319561005,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,T,0.10000841319561005,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,ORCL,0.10000841319561005,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,IBM,0.09767594188451767,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,LLY,0.0763840526342392,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,BMY,0.06570408493280411,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,HD,0.06409478932619095,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,WMT,0.04131753370165825,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,MRK,0.0280400849878788,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,VZ,0.023599188774824142,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,C,0.015478849411010742,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,GE,0.014274113811552525,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,PG,0.012231548316776752,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,PFE,0.012231548316776752,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,AIG,0.012231548316776752,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,KO,0.012231548316776752,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,XOM,0.012231548316776752,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-01-02,2001,2000,JNJ,0.012231548316776752,0.0,0.0,0.05,1,100,5,0.7,0.7,0.044815
2001-07-02,2001,2000,CSCO,0.10000248998403549,0.594893,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,HD,0.10000248998403549,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,MSFT,0.08823484927415848,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,ORCL,0.08823484927415848,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,INTC,0.08823484927415848,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,IBM,0.068898506462574,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,GE,0.068898506462574,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,VZ,0.068898506462574,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,C,0.068898506462574,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,WMT,0.0468277744948864,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,LLY,0.0468277744948864,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,XOM,0.02218705788254738,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,PG,0.02218705788254738,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,T,0.02218705788254738,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,MRK,0.02218705788254738,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,AIG,0.02218705788254738,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,JNJ,0.02218705788254738,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,PFE,0.010972842574119568,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,KO,0.010972842574119568,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2001-07-02,2001,2000,BMY,0.010972842574119568,0.0,0.0,0.05,1,100,1,1.0,1.0,0.034818
2002-01-02,2002,2001,CSCO,0.10000451654195786,0.541165,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,BAC,0.10000451654195786,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,IBM,0.10000451654195786,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,INTC,0.10000451654195786,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,HD,0.0843091756105423,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,T,0.0843091756105423,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,C,0.0843091756105423,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,MSFT,0.0843091756105423,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,GE,0.0843091756105423,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,JNJ,0.03905314579606056,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,PG,0.03905314579606056,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,XOM,0.01114774402230978,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,WMT,0.01114774402230978,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,VZ,0.01114774402230978,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,PFE,0.01114774402230978,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,AIG,0.01114774402230978,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,KO,0.01114774402230978,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,MRK,0.01114774402230978,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,BMY,0.01114774402230978,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-01-02,2002,2001,CVX,0.01114774402230978,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.073986
2002-07-01,2002,2001,BMY,0.10000474750995636,0.360601,0.0,0.05,1,100,5,1.0,1.0,-0.038166
2002-07-01,2002,2001,CSCO,0.08368732035160065,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.038166
