rebalance_date,n_stocks,best_learning_rate,best_max_depth,best_reg_lambda,best_n_estimators,best_gamma,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
2005-01-03,20,0.01,5,5,50,0.1,0.2804639421915648,0.0786600228696334,0.23651071727275852,0.05371401059087633,0.29624060150375936,0.4,0.0
2005-07-01,20,0.01,1,3,50,0.0,0.2892613854144115,0.0836721490918647,0.25090070068836207,-0.006582244714161689,-0.02803275863402529,0.6,0.0
2006-01-03,20,0.01,3,3,50,0.1,0.28163636942022574,0.07931904458020587,0.2460587826371193,0.04578592986218499,0.28969157937439466,0.55,0.42426406871192857
2006-07-03,20,0.05,2,1,200,0.0,0.314708107843753,0.09904119314259527,0.27940152704715726,-0.19147300021167268,-0.12030075187969923,0.65,0.7947194142390263
2007-01-03,19,0.01,2,5,50,0.0,0.2968639893718401,0.08812822818576399,0.25384212431815195,-0.06047634583535988,-0.332773930501371,0.47368421052631576,0.30151134457776363
2007-07-02,19,0.01,5,3,50,0.1,0.2996984544151276,0.08981916357881631,0.25845009237115074,-0.08082393506508967,-0.2543859649122807,0.42105263157894735,0.2788866755113585
2008-01-02,19,0.01,5,5,50,0.0,0.3046438741366699,0.09280789004899916,0.25371405168583516,-0.11678827692295646,-0.5070175438596491,0.21052631578947367,0.25
2008-07-01,20,0.01,1,1,100,0.0,0.3066740636784795,0.09404898133307209,0.261690565943718,-0.13141631678883714,-0.750558055250031,0.1,0.0
2009-01-02,19,0.01,5,3,50,0.1,0.3050860699215756,0.09307751006019253,0.26012760392516604,-0.12003270439098346,-0.40175438596491225,0.3157894736842105,0.2383656473113981
2009-07-01,19,0.01,3,3,50,0.0,0.29156947005378786,0.08501275586744671,0.25358848971343106,-0.022986828938275305,-0.18955684141629006,0.7894736842105263,0.8819171036881969
2010-01-04,20,0.05,2,5,50,0.0,0.2854463181004365,0.0814796005170956,0.24217417269945143,0.019794279493586697,0.23927772010664286,0.35,0.5619514869490163
2010-07-01,20,0.01,1,1,50,0.0,0.2892739990828147,0.08367944654536427,0.24904822409152985,-0.006670033628442429,-0.3637970761868081,0.9,0.0
2011-01-03,20,0.01,5,1,50,0.0,0.2890901077414142,0.08357309039394248,0.25126990377902986,-0.00539056113013503,-0.06042358117284273,0.6,0.3333333333333333
2011-07-01,20,0.01,1,5,50,0.0,0.28212673620645695,0.07959549528250776,0.24595787525177,0.042460207127726246,0.3779644730092272,0.6,0.3333333333333333
2012-01-03,20,0.01,1,3,50,0.0,0.2848063061760939,0.08111463203767094,0.24810556769371034,0.024184877742304378,0.2852424116624989,0.85,0.0
2012-07-02,20,0.01,3,3,50,0.0,0.28857633302832175,0.08327629998407288,0.2522025480866432,-0.0018201501843353451,-0.013554232238713807,0.5,0.0
2013-01-02,20,0.01,1,1,50,0.0,0.2896035048668529,0.08387019003116528,0.2512860998511315,-0.008964692104243888,-0.17435123429823324,0.8,0.0
2013-07-01,20,0.01,1,5,50,0.0,0.2905888197340901,0.08444186215445153,0.2515261858701706,-0.01584195073024386,-0.3798464163225737,0.9,0.0
2014-01-02,20,0.01,2,3,100,0.0,0.3028746975280289,0.091733082402695,0.2594326511025428,-0.10355587852866166,-0.2044523287359976,0.45,0.0
2014-07-01,20,0.01,1,5,50,0.0,0.2896324069912787,0.0838869311795617,0.2506240338087082,-0.009166089378185749,-0.2102476360231951,0.65,0.0
2015-01-02,19,0.01,1,5,50,0.0,0.28613064874160055,0.0818707481492892,0.24522664309208414,0.014821997270219933,0.20565318641515568,0.42105263157894735,0.0
2015-07-01,19,0.01,1,5,50,0.0,0.289208863640282,0.0836417668081032,0.25081197475792627,-0.006489260590841983,-0.06560780707702088,0.3684210526315789,0.0
2016-01-04,20,0.01,1,5,50,0.0,0.29327175342231454,0.08600832135539888,0.25283741950988775,-0.03468657269652775,-0.16722023092053495,0.6,0.0
2016-07-01,20,0.01,5,5,50,0.1,0.28397559874664596,0.08064214068351608,0.24460572749376291,0.02986898425845319,0.0781954887218045,0.5,0.3273268353539886
2017-01-03,20,0.1,1,5,50,0.0,0.2767601851248535,0.07659620007034318,0.2444062855839729,0.07854195404098441,0.24454483973163185,0.55,0.565685424949238
2017-07-03,20,0.01,2,5,200,0.0,0.3115904169883096,0.09708858795894866,0.2651545998454094,-0.16798301303998375,-0.1969924812030075,0.65,
2018-01-02,20,0.2,1,1,50,0.0,0.29781212817194014,0.08869206368630009,0.26355193704366686,-0.0669721947224069,-0.009022556390977442,0.4,0.38924947208076144
2018-07-02,20,0.05,1,1,50,0.0,0.31835922072718825,0.10135259342202256,0.276304332613945,-0.21927931936267764,-0.4567181193894467,0.4,0.408248290463863
2019-01-02,20,0.1,1,3,50,0.0,0.25619862304448016,0.06563773444988763,0.2096907135844231,0.21037311939984804,0.3954887218045112,0.55,
2019-07-01,20,0.05,1,1,50,0.0,0.2776995810790041,0.07711705733145438,0.24264079481363293,0.07227600202761664,0.23770422994819632,0.55,0.5303300858899106
2020-01-02,20,0.01,1,1,100,0.0,0.279859710644296,0.07832145764190909,0.23658948361873627,0.05778697573643199,0.32963803063644886,0.65,0.6356417261637282
2020-07-01,20,0.01,5,3,50,0.1,0.2778382323594506,0.07719408336062406,0.24064076840877532,0.07134937310527445,0.09104592494623832,0.6,0.0
2021-01-04,20,0.01,5,5,50,0.1,0.28800698450958323,0.08294802312630332,0.24385906457901002,0.0021290450971028774,0.3398496240601503,0.85,0.7483314773547882
2021-07-01,20,0.01,1,5,50,0.0,0.2873310426697709,0.08255912808169769,0.24759945273399353,0.006807481723937636,0.09203371468004598,0.65,0.0
2022-01-03,20,0.01,2,3,50,0.0,0.30931242550062077,0.09567417656907708,0.2663850009441376,-0.15096753767310767,-0.6483737898994464,0.2,0.28867513459481287
2022-07-01,20,0.01,1,5,50,0.0,0.30042903193410603,0.09025760322886409,0.26054794490337374,-0.08580575312919181,-0.548034454664721,0.45,0.28426762180748055
2023-01-03,20,0.01,2,1,100,0.0,0.27920433466752165,0.07795506049713344,0.23965740621089932,0.06219476093674059,0.29378583170383876,0.75,0.5887840577551898
2023-07-03,20,0.05,1,5,50,0.0,0.2874415323975086,0.08262263454702796,0.2378537356853485,0.00604349417109229,0.061132510734983034,0.7,0.5345224838248488
2024-01-02,20,0.01,2,5,50,0.0,0.2833802948494081,0.08030439150893745,0.24536184966564184,0.03393213222330893,0.3575948011115086,0.65,0.0
2024-07-01,20,0.01,1,3,50,0.0,0.29021099961786284,0.0842224242991992,0.253755658864975,-0.013202096832471533,-0.16742959938586272,0.85,0.0
2025-01-02,20,0.01,1,5,50,0.0,0.28587641035896955,0.08172532199972994,0.24787397682666779,0.016838231582196328,0.21439111895313664,0.65,0.0
2025-07-01,20,0.01,1,1,50,0.0,0.2802147674200954,0.07852031588029815,0.24318061172962185,0.05539469617686443,0.29504875677753917,0.65,0.0
