rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected
2017-11-01,2017,2016,WMT,0.06820963323116302,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,T,0.06820963323116302,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,WFC,0.06820963323116302,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,META,0.06820963323116302,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,BAC,0.06820963323116302,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,JPM,0.06820963323116302,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,VZ,0.06820963323116302,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,MSFT,0.034491267055273056,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,V,0.034491267055273056,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,BRK-B,0.009998125955462456,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,XOM,0.009998125955462456,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,JNJ,0.009998125955462456,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,PG,0.009998125955462456,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,CVX,0.009998125955462456,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,PFE,0.009998125955462456,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-11-01,2017,2016,KO,0.009998125955462456,0.0,0.0,0.05,1,1,0.5,300,1,1.0,1.0,0.001414
2017-12-01,2017,2016,GOOGL,0.10000589489936829,0.711255,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,INTC,0.10000589489936829,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,WFC,0.10000589489936829,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,META,0.10000589489936829,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,BAC,0.09994621574878693,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,JPM,0.09994621574878693,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,MSFT,0.03856538236141205,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,BRK-B,0.03856538236141205,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,KO,0.03856538236141205,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,XOM,0.03856538236141205,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,PG,0.03856538236141205,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,JNJ,0.03856538236141205,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,PFE,0.03856538236141205,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,CVX,0.03856538236141205,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,V,0.03856538236141205,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,AAPL,0.010599113069474697,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
