rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_subsample,best_colsample,val_R2_selected
1998-07-01,1998,1997,JNJ,0.05773453414440155,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,KO,0.04891572520136833,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,PG,0.048740554600954056,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,INTC,0.04631209000945091,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,BMY,0.04435810446739197,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,MRK,0.043122682720422745,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,PEP,0.03531713783740997,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,WMT,0.034209564328193665,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,GE,0.03226782754063606,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,IBM,0.02972489967942238,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,MSFT,0.029447222128510475,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,AIG,0.028773512691259384,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,LLY,0.026491327211260796,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-07-01,1998,1997,CSCO,0.009999074973165989,0.0,0.0,0.01,2,5,0.001,300,1.0,1.0,0.245786
1998-08-03,1998,1997,MSFT,0.0993524044752121,0.519147,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,DIS,0.08965184539556503,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,XOM,0.08113250136375427,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,PFE,0.07655096054077148,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,T,0.07231304794549942,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,WMT,0.06948334723711014,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,GE,0.0608077198266983,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
