rebalance_date,ticker,assigned_weight,updated_mktcap_bn,turnover_at_rebalance
2001-01-02,PFE,0.0737620721931229,275.03,0.0
2001-01-02,WMT,0.0636403378202601,237.29,0.0
2001-01-02,MSFT,0.062004339418711,231.19,0.0
2001-01-02,C,0.06152426775661708,229.4,0.0
2001-01-02,INTC,0.05426150763957614,202.32,0.0
2001-01-02,MRK,0.05208643435489365,194.21,0.0
2001-01-02,AIG,0.05077227170446896,189.31,0.0
2001-01-02,ORCL,0.04350146569364991,162.2,0.0
2001-01-02,KO,0.0405325308895272,151.13,0.0
2001-01-02,JNJ,0.039167410911841144,146.04,0.0
2001-01-02,IBM,0.038193857764689795,142.41,0.0
2001-01-02,BMY,0.036898468866414035,137.58,0.0
2001-01-02,VZ,0.036284298974684936,135.29,0.0
2001-01-02,T,0.03247859121763875,121.1,0.0
2001-01-02,HD,0.028439552541027358,106.04,0.0
2001-01-02,LLY,0.028128444648273753,104.88,0.0
2001-01-02,PG,0.027208530792976474,101.45,0.0
2002-01-02,MSFT,0.1025849646332834,358.08,0.1428868132757345
2002-01-02,XOM,0.07666083189851514,267.59,0.0
2002-01-02,C,0.07446061817983883,259.91,0.0
2002-01-02,WMT,0.07347797064662792,256.48,0.0
2002-01-02,GE,0.06825246306477166,238.24,0.0
2002-01-02,PFE,0.06791154453284134,237.05,0.0
2002-01-02,INTC,0.060276688334570006,210.4,0.0
2002-01-02,IBM,0.05703080012719986,199.07,0.0
2002-01-02,JNJ,0.05159042792437912,180.08,0.0
2002-01-02,AIG,0.0493472412815099,172.25,0.0
2002-01-02,CSCO,0.038056821665229466,132.84,0.0
2002-01-02,VZ,0.036942390497827,128.95,0.0
2002-01-02,MRK,0.03444423117141327,120.23,0.0
2002-01-02,HD,0.034240825996900225,119.52,0.0
2002-01-02,KO,0.03358190782594247,117.22,0.0
2002-01-02,PG,0.02913850746439693,101.71,0.0
2002-01-02,BMY,0.028287643565377576,98.74,0.0
2002-01-02,T,0.028198832855378924,98.43,0.0
2002-01-02,BAC,0.028124346453444568,98.17,0.0
2002-01-02,CVX,0.027390941880552463,95.61,0.0
2003-01-02,MSFT,0.10296882270823642,276.6,0.16680973067645297
2003-01-02,XOM,0.08714751046998605,234.1,0.0
2003-01-02,WMT,0.08298557468590043,222.92,0.0
2003-01-02,C,0.06734295020939973,180.9,0.0
2003-01-02,PFE,0.06645695672405771,178.52,0.0
2003-01-02,JNJ,0.05934295020939973,159.41,0.0
2003-01-02,GE,0.05418334108887856,145.55,0.0
2003-01-02,IBM,0.0474527687296417,127.47,0.0
2003-01-02,AIG,0.046615169846440214,125.22,0.0
2003-01-02,MRK,0.042557468590041884,114.32,0.0
2003-01-02,PG,0.04136621684504421,111.12,0.0
2003-01-02,KO,0.040327594229874364,108.33,0.0
2003-01-02,VZ,0.039612843182875765,106.41,0.0
2003-01-02,BAC,0.03886086551884598,104.39,0.0
2003-01-02,INTC,0.038108887854816205,102.37,0.0
2003-01-02,CSCO,0.03523499302000931,94.65,0.0
2003-01-02,WFC,0.0294164727780363,79.02,0.0
2003-01-02,PEP,0.027063750581665897,72.7,0.0
2003-01-02,LLY,0.026523964634713824,71.25,0.0
2003-01-02,CVX,0.02643089809213588,71.0,0.0
2004-01-02,MSFT,0.09143571912898903,295.32,0.1331048031724385
2004-01-02,XOM,0.08337642152324752,269.29,0.0
2004-01-02,PFE,0.07908514742353266,255.43,0.0
2004-01-02,C,0.07750301101303174,250.32,0.0
2004-01-02,WMT,0.07106609986345948,229.53,0.0
2004-01-02,INTC,0.06437220765308177,207.91,0.0
2004-01-02,GE,0.057839315625377356,186.81,0.0
2004-01-02,CSCO,0.051786327988333686,167.26,0.0
2004-01-02,JNJ,0.047473380787105134,153.33,0.0
2004-01-02,IBM,0.0464578411733198,150.05,0.0
2004-01-02,AIG,0.04439889652951722,143.4,0.0
2004-01-02,PG,0.03997139150600191,129.1,0.0
2004-01-02,KO,0.038364485836628166,123.91,0.0
2004-01-02,BAC,0.03588446379198777,115.9,0.0
2004-01-02,WFC,0.030961573591016193,100.0,0.0
2004-01-02,MRK,0.030308284388245753,97.89,0.0
2004-01-02,VZ,0.030063687956876722,97.1,0.0
2004-01-02,CVX,0.028593013211303454,92.35,0.0
2004-01-02,UPS,0.026060356491558332,84.17,0.0
2004-01-02,HD,0.024998374517386474,80.74,0.0
2005-01-03,XOM,0.09766377255044364,328.12,0.11566261716270061
2005-01-03,MSFT,0.08652881664677395,290.71,0.0
2005-01-03,C,0.07449496828576446,250.28,0.0
2005-01-03,GE,0.068890284520298,231.45,0.0
2005-01-03,WMT,0.06655375942423258,223.6,0.0
2005-01-03,BAC,0.05670165997458099,190.5,0.0
2005-01-03,PFE,0.05668380118403781,190.44,0.0
2005-01-03,JNJ,0.05608255523575091,188.42,0.0
2005-01-03,IBM,0.046132232438111855,154.99,0.0
2005-01-03,INTC,0.04353377841407987,146.26,0.0
2005-01-03,AIG,0.042096145775354275,141.43,0.0
2005-01-03,PG,0.041363935363084095,138.97,0.0
2005-01-03,JPM,0.041289523735820864,138.72,0.0
2005-01-03,CSCO,0.0378665888817123,127.22,0.0
2005-01-03,VZ,0.03339891478082799,112.21,0.0
2005-01-03,CVX,0.03293160976161491,110.64,0.0
2005-01-03,WFC,0.031345153868362854,105.31,0.0
2005-01-03,KO,0.02986287425327932,100.33,0.0
2005-01-03,UPS,0.028642523566162356,96.23,0.0
2005-01-03,HD,0.027937101339706935,93.86,0.0
2006-01-03,XOM,0.10821296425309244,349.49,0.1301892016602547
2006-01-03,MSFT,0.08615175018964903,278.24,0.0
2006-01-03,C,0.07601752511882091,245.51,0.0
2006-01-03,GE,0.06861114981499543,221.59,0.0
2006-01-03,WMT,0.060328518570123696,194.84,0.0
2006-01-03,BAC,0.057387023361664576,185.34,0.0
2006-01-03,JNJ,0.055362036133946406,178.8,0.0
2006-01-03,PFE,0.05043890204820956,162.9,0.0
2006-01-03,INTC,0.04659328410199247,150.48,0.0
2006-01-03,AIG,0.04548480485501525,146.9,0.0
2006-01-03,JPM,0.0430015636369266,138.88,0.0
2006-01-03,PG,0.04261762110445404,137.64,0.0
2006-01-03,CVX,0.039462480454538415,127.45,0.0
2006-01-03,IBM,0.03840973480098463,124.05,0.0
2006-01-03,CSCO,0.03256390011301534,105.17,0.0
2006-01-03,WFC,0.032526744384066386,105.05,0.0
2006-01-03,PEP,0.030384097348009845,98.13,0.0
2006-01-03,AMGN,0.030130199866858637,97.31,0.0
2006-01-03,KO,0.02969362005170839,95.9,0.0
2006-01-03,HD,0.02662207979192792,85.98,0.0
2007-01-03,XOM,0.1195074339501551,446.91,0.22470876860046812
2007-01-03,MSFT,0.07848967804043212,293.52,0.0
2007-01-03,C,0.07318697186864906,273.69,0.0
2007-01-03,BAC,0.06411648304631512,239.77,0.0
2007-01-03,GE,0.061383570435340686,229.55,0.0
2007-01-03,PG,0.05446304417584768,203.67,0.0
2007-01-03,WMT,0.05145470103754412,192.42,0.0
2007-01-03,JNJ,0.051179270510214994,191.39,0.0
2007-01-03,PFE,0.04732324312760723,176.97,0.0
2007-01-03,JPM,0.04480425713980105,167.55,0.0
2007-01-03,CSCO,0.04438442614183335,165.98,0.0
2007-01-03,CVX,0.042865547117338754,160.3,0.0
2007-01-03,AIG,0.04132260134773773,154.53,0.0
2007-01-03,GOOGL,0.03768584875387742,140.93,0.0
2007-01-03,IBM,0.03737030698470425,139.75,0.0
2007-01-03,WFC,0.03210236388918601,120.05,0.0
2007-01-03,INTC,0.03122259065140657,116.76,0.0
2007-01-03,KO,0.030243876350411807,113.1,0.0
2007-01-03,VZ,0.02907797625414483,108.74,0.0
2007-01-03,T,0.027815809177452133,104.02,0.0
2008-01-02,XOM,0.12837655493378008,504.24,0.1332012139323553
2008-01-02,MSFT,0.08455326364242761,332.11,0.0
2008-01-02,PG,0.057515364757040804,225.91,0.0
2008-01-02,GE,0.05636969107545662,221.41,0.0
2008-01-02,GOOGL,0.055068714961479914,216.3,0.0
2008-01-02,CVX,0.04966113518440255,195.06,0.0
2008-01-02,WMT,0.04844417514040868,190.28,0.0
2008-01-02,T,0.048418715725262365,190.18,0.0
2008-01-02,JNJ,0.048227770111665,189.43,0.0
2008-01-02,BAC,0.04666201608016661,183.28,0.0
2008-01-02,AAPL,0.04430702017913245,174.03,0.0
2008-01-02,CSCO,0.04181199749479355,164.23,0.0
2008-01-02,C,0.041053306923433355,161.25,0.0
2008-01-02,INTC,0.03928642351227908,154.31,0.0
2008-01-02,JPM,0.03741770244053954,146.97,0.0
2008-01-02,PFE,0.03707909221909354,145.64,0.0
2008-01-02,IBM,0.03638150424408451,142.9,0.0
2008-01-02,KO,0.03621856398714809,142.26,0.0
2008-01-02,VZ,0.03200248483891829,125.7,0.0
2008-01-02,AIG,0.031144502548487458,122.33,0.0
2009-01-02,XOM,0.15061547990371887,406.1,0.27149492731625724
2009-01-02,WMT,0.08157194939675924,219.94,0.0
2009-01-02,PG,0.06720024329907615,181.19,0.0
2009-01-02,MSFT,0.06414046071053715,172.94,0.0
2009-01-02,JNJ,0.06157766099092451,166.03,0.0
2009-01-02,CVX,0.054975948254440396,148.23,0.0
2009-01-02,T,0.047161448964680844,127.16,0.0
2009-01-02,JPM,0.043641771781016005,117.67,0.0
2009-01-02,PFE,0.04197279945999474,113.17,0.0
2009-01-02,IBM,0.03992181791882861,107.64,0.0
2009-01-02,KO,0.03884254915123486,104.73,0.0
2009-01-02,VZ,0.03731822109803544,100.62,0.0
2009-01-02,WFC,0.036353925979223156,98.02,0.0
2009-01-02,GOOGL,0.03591999317575763,96.85,0.0
2009-01-02,GE,0.035771640080555736,96.45,0.0
2009-01-02,CSCO,0.03539704851517096,95.44,0.0
2009-01-02,ORCL,0.03318287856928275,89.47,0.0
2009-01-02,PM,0.0326450985991759,88.02,0.0
2009-01-02,PEP,0.03154728569468192,85.06,0.0
2009-01-02,INTC,0.03024177845690529,81.54,0.0
2010-01-04,XOM,0.09875124844518789,322.33,0.29949954168313986
2010-01-04,MSFT,0.08227789930332163,268.56,0.0
2010-01-04,WMT,0.06238855903384129,203.64,0.0
2010-01-04,GOOGL,0.06036347371065483,197.03,0.0
2010-01-04,AAPL,0.0585191448686605,191.01,0.0
2010-01-04,JNJ,0.0544444648689056,177.71,0.0
2010-01-04,PG,0.0539604051396114,176.13,0.0
2010-01-04,JPM,0.05032382983155947,164.26,0.0
2010-01-04,IBM,0.04998988989172993,163.17,0.0
2010-01-04,CVX,0.04736432541068485,154.6,0.0
